<GROUP>,,,
3E8-3FFF,CPU ユニットのエラー,CPU ユニットのユーザーズマニュアルを参照ください。,********.csv
4000-4FFF,CPU ユニットのエラー,CPU ユニットのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,,,ERR_QJ71E71.csv
E000-EFFF,,,ERR_QJ71GP21.csv
F000-FFFF,,,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
55,GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可しないときに，相手機器によりシーケンサCPUがRUN中にデータの書込みを要求した。,"・GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可する設定にして，データ書込みを行う。
・CPU ユニットをSTOPにしてデータを書き込む。",
0A8C,リモートパスワード不一致回数が上限に達した。,"不正アクセスか確認する。不正アクセスの場合，該当コネクションの通信禁止などの処置を行う。
不正アクセスで無い場合，エラーをクリアし下記項目を実施する。(エラーのクリアでリモートパスワード累積回数もクリアされる。)
・送信したリモートパスワードが正しいか確認する。
・リモートパスワードのロック処理が行われているか確認する。
・複数機器からUDPで1つのコネクションに同時アクセスしていないか確認する。
・リモートパスワードの不一致上限値が極端に小さくないか確認する。",
0A96,シーケンサ電源ON/リセット時の時刻設定に失敗した。,"・時刻設定機能の設定が正しく設定されているか確認する。
・指定したSNTPサーバが正常に動作しているか，指定したSNTPサーバ用パソコンまでのネットワークに障害が発生していないか確認する。",
4000,シリアル通信サムチェックエラー,"・シリアル通信ケーブルを正しく接続する。
・ノイズ対策を実施する。",
4001,サポート外の要求を実行した。,"・MC プロトコルなどのコマンドデータを確認する。
・プログラミングツールで選択しているCPU ユニット形名を確認する。",
4002,サポート外の要求を実行した。,"・MC プロトコルなどのコマンドデータを確認する。
・プログラミングツールで選択しているCPU ユニット形名を確認する。",
4003,グローバル要求できないコマンドを実行した。,MC プロトコルなどのコマンドデータを確認する。
4004,"以下のシステムプロテクト機能によりCPU ユニットに対する操作が禁止されています。
・システムプロテクトスイッチがON
・CPU ユニットが起動中である","・CPU ユニット本体のシステムプロテクトスイッチをOFF にする。
・CPU ユニット起動完了後に再度操作を実施する。"
4005,指定された要求で扱うデータ量が多すぎる 。,MC プロトコルなどのコマンドデータを確認する。
4006,シリアル通信の初期化に失敗した。,"・外部機器メーカーにサポート状況を確認する。
・プログラミングツールで選択しているCPU ユニット形名を確認する。"
4008,CPU ユニットがBUSY である。( バッファが空でない）,任意の時間経過後，再度要求を実行する。
4010,CPU ユニットがRUN 中のため，要求内容を実行できない。,CPU ユニットをSTOP 状態にしてから実行する。
4013,CPU ユニットがSTOP 状態でないため，要求内容を実行できない。,CPU ユニットをSTOP 状態にしてから実行する。
4021,指定したドライブ（メモリ）存在しない，または異常である。,"・指定ドライブ（メモリ）の状態を確認する。
・CPU ユニット内部のデータバックアップを実施後，PC メモリフォーマットを実行する。"
4022,指定したファイル名，ファイルNo. のファイルが存在しない。,指定したファイル名，ファイルNo. を確認する。
4023,指定したファイルのファイル名とファイルNo. が一致しない。,ファイルを削除後，再度ファイルを作成する。
4024,指定したファイルはユーザでは扱えない。,指定したファイルにはアクセスしない。
4025,指定したファイルは他のプログラミングツールからの要求を処理中である。,要求を強制実行する，または他のプログラミングツールからの処理が完了してから，再度要求する。
4026,対象ドライブ（メモリ）に設定してあるファイルパスワード32の指定が必要である。,対象ドライブ（メモリ）に設定してあるファイルパスワード32を指定してアクセスする。
4027,指定した範囲が，ファイルサイズの範囲を超えている。,指定した範囲を確認し，範囲内でアクセスする。
4028,同一ファイルが存在する。,要求を強制実行する，またはファイル名を変更して実行する。
4029,指定したファイルの容量が確保できない。,指定したファイルの容量を見直す，または指定したドライブメモリの整理を行い，再度実行する。
402A,指定したファイルが異常である。,CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。
402B,指定したドライブ（メモリ）では要求内容を実行できない。,"CPU ユニットをSTOP 状態にして再度実行する。
PC メモリ整理を実施して，連続なドライブ（メモリ）の空き容量を増やす。"
402C,現在は要求内容を実行できない。,しばらくしてから再度実行する。
4030,指定したデバイス名が扱えない。,指定したデバイス名を確認する。
4031,指定したデバイスNo. が範囲外である。,"・指定したデバイスNo. を確認する。
・CPU ユニットのデバイス割付パラメータを確認する。"
4032,"指定したデバイス修飾に誤りがある。
または，MCプロトコルのランダム読出し/ランダム書込み(ワード単位)/モニタ登録/モニタコマンドで使用できないデバイス名(TS,TC,SS,SC,CS,CC)を指定した。","・指定したデバイス修飾方法を確認する。
・指定したデバイス名を確認する。"
4033,指定のデバイスはシステム用であるため書込みできない。,指定したデバイスにはデータを書き込まない，またはON/OFF しない。
4034,専用命令の完了デバイスがON できないため，実行不可。,SREAD 命令／ SWRITE 命令で対象局CPU ユニットの完了デバイスがON できないため，対象局CPU ユニットの運転状態をRUN 状態にして再度実行する。
4040,指定のインテリジェント機能ユニットには要求内容を実行できない。,指定のユニットがバッファメモリを持つインテリジェント機能ユニットか確認する。
4041,アクセス範囲が，指定したインテリジェント機能ユニットのバッファメモリ範囲を超えている。,先頭アドレス，アクセス点数を確認し，インテリジェント機能ユニットに存在する範囲でアクセスする。
4042,指定したインテリジェント機能ユニットにアクセスできない。,"・指定したインテリジェント機能ユニットが正常に動作しているか確認する。
・指定したユニットがハードウェア異常か確認する。"
4043,指定したインテリジェント機能ユニットが存在しない。,指定したインテリジェント機能ユニットの入出力番号を確認する。
4044,,
4050,メモリカードのライトプロテクトスイッチがON のため，要求内容を実行できない。,メモリカードのライトプロテクトスイッチをOFF にする。
4051,指定したドライブ（メモリ）にアクセスできない。,"以下を確認し，処置する。
・使用可能なドライブ（メモリ）であるか。
・指定されたドライブ（メモリ）が正しく装着されているか。"
4052,指定したファイルの属性が読出し専用のため，データを書き込めない。,指定したファイルにはデータを書き込まない，またはファイルの属性を変更する。
4053,指定したドライブ（メモリ）へのデータの書込みでエラーが発生した。,指定したドライブ（メモリ）を確認する，または対象ドライブメモリを交換後，再度書込みを行う。
4054,指定したドライブ（メモリ）のデータ消去でエラーが発生した。,指定したドライブ（メモリ）を確認する，または対象ドライブメモリを交換後，再度消去を行う。
4060,他のプログラミングツールでオンラインデバッグ機能（RUN中書込/トレース/モニタ条件の設定など）及びデータロギング機能を実施中である。,"・他のプログラミングツールの操作終了後に再度実施する。
・他のプログラミングツールで操作中断している場合は，他のプログラミングツールで再度実行して操作を正常完了してから，再度実施する。"
4061,オンラインデバッグ機能の通信に失敗した。,"・オンラインデバッグ機能（RUN 中書込／トレース／モニタ条件の設定など）の登録をしてから実行する。
・通信ケーブルなど通信経路を確認し，再度実行する。"
4063,ファイルロックの登録数がシステムのMAX数を超えた。,他のプログラミングツールによるファイルアクセスが終了してから，再度実施する。
4064,オンラインデバッグ機能（RUN中書込/トレース/モニタ条件の設定など） 及び データロギング機能の指定内容がおかしい。,"・オンラインデバッグ機能（RUN中書込/トレース/モニタ条件の設定など） 及び データロギング機能の設定データを確認する。
・通信ケーブルなど通信経路を確認し，再度実行する。"
4065,デバイス割付け情報がパラメータと異なる。,CPU ユニットのデバイス割付パラメータ，または要求データのデバイス割付を確認する。
4066,指定のファイルパスワード32が間違っている。,・指定のファイルの正しいファイルパスワード32を確認する。
4067,モニタの通信に失敗した。,"・PC メモリフォーマット時に指定するユーザ設定のシステムエリア容量を確認する。
・通信ケーブルなど通信経路を確認し，再度実行する。"
4068,他のプログラミングツールから同一操作実行中のため操作できない。,他のプログラミングツールからの操作終了後に再度実行する。
406A,扱えないドライブ（メモリ）番号（0，2，3，4以外）を指定した。,指定したドライブを確認し，正しいドライブを指定する。
4070,RUN 中書込操作の修正前のプログラムと修正後のプログラムが異なる。,PC 読出を実施して，プログラミングツールとCPU ユニットのプログラムを同一のものにしてから，再度RUN 中書込を実行する。
4080,要求データ異常,指定した要求データ内容を確認する。
4081,サーチする対象が検出できなかった。,サーチするデータを確認する。
4082,指定コマンドは実行中のため，実行不可である。,他のプログラミングツールからの要求を完了してから，再度コマンドを実行する。
4083,パラメータに登録されていないプログラムに対して操作をしようとした。,パラメータに操作するプログラムを登録する。
4084,"指定ポインタP,I が存在しなかった。","指定のデータ中のポインタP,I を確認する。"
4085,"パラメータ指定されていないプログラムのため，ポインタP,I の指定ができない。","パラメータに実行するプログラムを登録してから，ポインタP,I を指定する。"
4086,"すでにあるポインタP,I を追加しようとした。",追加するポインタNo. を確認し，修正する。
4087,"指定しようとしたポインタP,I の数がオーバーした。","指定するポインタP,I を確認し，修正する。"
4088,"・指定したステップNo. が命令の先頭でなかった。
・CPU ユニットに格納されたプログラムと該当プログラムの内容が異なる。","・指定するステップNo. を確認し，修正する。
・PC 読出を実施して，プログラミングツールとCPU ユニットのプログラムを同一のものにしてから，再度RUN 中書込を実行する。"
4089,RUN 中書込操作で，END 命令を挿入／削除しようとした。,"・指定のプログラムファイル内容を確認する。
・CPU ユニットをSTOP状態にしてからプログラムを書き込む。"
408A,RUN 中書込によってファイル容量をオーバーした。,"・指定のプログラムファイルの容量を確認する。
・CPU ユニットをSTOP状態にしてからプログラムを書き込む。"
408B,リモート要求の実行不可,"・CPU ユニットをリモート要求の実行できる状態にしてから，再度要求を行う。
・リモートリセット操作の場合は，パラメータで「リモートリセットを許可する」に設定する。"
408C,,
408D,扱えない命令コードが存在する。,"・使用しているCPU ユニットの機種が正しいか確認する。
・RUN 中書込を実行しようとしたシーケンスプログラム内に，プロジェクトで設定したCPU ユニット形名で扱えない命令が存在する。シーケンスプログラムを見直して，その命令を削除する。"
408E,書込みステップが不正である。,"・CPU ユニットをSTOP状態にしてからプログラムを書き込む。
・RUN 中書込の開始位置が，正しいプログラムステップNo. で指定されていない。使用しているプログラミングツールが，プロジェクトで設定したCPU ユニット形名およびCPU ユニットのバージョンに対応しているか確認する。"
40A0,範囲外のブロックNo. を指定した。,設定内容を確認し，修正する。
40A1,ブロック数の範囲をオーバーして指定した。,設定数を確認し，修正する。
40A2,範囲外のステップNo. を指定した。,設定内容を確認し，修正する。
40A3,ステップ数範囲オーバー,設定数を確認し，修正する。
40A4,範囲外のシーケンスステップNo. を指定した。,設定内容を確認し，修正する。
40A5,指定したデバイスが範囲外だった。,設定数を確認し，修正する。
40A6,ブロック指定パターンおよびステップ指定パターンが誤っていた。,設定内容を確認し，修正する。
40B0,SFC ファイルの操作で指定したドライブ( メモリ）が間違っている。,設定内容を確認し，修正する。
40B1,SFC ファイルの操作で指定したSFC プログラムが存在しない。,指定したファイル名を確認し，修正する。
40B2,SFC ファイルの操作で指定プログラムがSFC プログラムでない。,指定したファイル名を確認し，修正する。
