<GROUP>,,
</GROUP>,,
<ERRCODE>,,
1,ユニットのハードウェアエラーです。,"電源のOFF/ONを再度行ってください。
再度発生する場合は、ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明、ご相談ください。"
2,インテリジェント機能ユニットスイッチ5に0以外が設定されています。,GX Developerのパラメータ設定でインテリジェント機能ユニットスイッチ5の設定を0に戻してください。
64,"静荷重設定値(Un\G50～Un\G54,Un\G56～Un\G60,Un\G62～Un\G71)、もしくは静荷重較正値(Un\G80～Un\G87)が不正です。
または、変換許可/禁止設定(Un\G0)を禁止(1H)に設定して静荷重較正を行っています。","変換許可/禁止設定(Un\G0)を許可(0H)に設定して静荷重較正をやり直すか、静荷重較正値(Un\G80～Un\G87)を書き込んでください。
再度発生する場合は、ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明、ご相談ください。"
00A1,静荷重モード時にG(P).OGSTOR命令を実行しています。,静荷重モード時はG(P).OGSTOR命令を実行しないでください。
00A2,G(P).OGSTOR命令が連続実行されています。,1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
00A3,G(P).OGLOAD命令を実行した機種と異なる機種に対し、G(P).OGSTOR命令を実行しています。,G(P).OGSTOR命令は、同一機種に対して実行してください。
044C,"ロードセル定格重量（Un\G50,Un\G51）が1～999999以外の設定になっています。","ロードセル定格重量（Un\G50,Un\G51）を 1～999999以内に設定し直してください。"
044D,ロードセル定格出力（Un\G52）が3～30以外の設定になっています。,ロードセル定格出力（Un\G52）を3～30以内に設定し直してください。
044E,ロードセル接続台数（Un\G53）が1～4以外の設定になっています。,ロードセル接続台数（Un\G53）を1～4以内に設定し直してください。
044F,"風袋消去機能（Un\G54）が0H,1H以外の設定になっています。",風袋消去機能（Un\G54）を0Hもしくは1Hに設定し直してください。
456,"最大秤量設定（Un\G56,Un\G57）が 1～99999以外の設定になっています。","最大秤量設定（Un\G56,Un\G57）を 1～99999以内に設定し直してください。"
457,"最大秤量設定（Un\G56,Un\G57）が、
最大秤量設定 ≦ ロードセル定格重量×ロードセル接続台数
を満たさない設定になっています。","ロードセル定格重量（Un\G50,Un\G51）、ロードセル接続台数（Un\G53）、最大秤量設定（Un\G56,Un\G57）の内容を設定し直してください。"
458,最小目盛（Un\G58）が0H～5H以外の設定になっています。,最小目盛（Un\G58）を0H～5H以内に設定し直してください。
459,小数点位置（Un\G59）が0H～4H以外の設定になっています。,小数点位置（Un\G59）を0H～4H以内に設定し直してください。
045A,単位（Un\G60）が0H～2H以外の設定になっています。,単位（Un\G60）を0H～2H以内に設定し直してください。
