<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,"An invalid value is set in the CH1 input range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0066,"An invalid value is set in the CH2 input range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
006F,"Module error at startup.","Turn the power OFF and ON again. If the error occurs again, the module may be malfunctioning. Contact the nearest distributor or branch office with the description of the problem."
0070,"The setting of the intelligent function module switch 5 is other than 0.","Set the correct parameter value in the parameter setting of MELSOFT application."
00A1,"The G(P).OGSTOR instruction was executed in the offset/gain setting mode.","Do not execute the G(P).OGSTOR instruction in the offset/gain setting mode."
00A2,"* The G(P).OGSTOR instruction was executed consecutively.
* At the time of offset/gain setting, a set value was written to the E2PROM 26 or more times.","* Execute the G(P).OGSTOR instruction only once for one module.
* At the time of offset/gain setting, write a set value only once at one time."
00A3,"The G(P).OGSTOR instruction was executed for the model that differs from the model for which the G(P).OGLOAD instruction had been executed.","Execute the G(P).OGLOAD and G(P).OGSTOR instructions for the same model."
00C9,"The CH1 average time setting at the buffer memory address 1 (Un\G1) is outside the 40 to 5000ms range. ","Re-set the average time setting to within 40 to 5000ms."
00CA,"The CH2 average time setting at the buffer memory address 2 (Un\G2) is outside the 40 to 5000ms range. ","Re-set the average time setting to within 40 to 5000ms."
012D,"The CH1 average count setting at the buffer memory address 1 (Un\G1) is outside the 4 to 500 times range.","Re-set the average count setting to within 4 to 500 times."
012E,"The CH2 average count setting at the buffer memory address 2 (Un\G2) is outside the 4 to 500 times range.","Re-set the average count setting to within 4 to 500 times."
0137,"The CH1 move average count setting at the buffer memory address 1 (Un\G1) is outside the 2 to 60 times range.","Re-set the move average count setting to within 2 to 60 times."
0138,"The CH2 move average count setting at the buffer memory address 2 (Un\G2) is outside the 2 to 60 times range.","Re-set the move average count setting to within 2 to 60 times."
0141,"The CH1 time constant setting of the primary delay filter at the buffer memory address 1 (Un\G1) is outside the 10 to 5000 range.","Re-set the time constant setting to within 10 to 5000."
0142,"The CH2 time constant setting of the primary delay filter at the buffer memory address 2 (Un\G2) is outside the 10 to 5000 range.","Re-set the time constant setting to within 10 to 5000."
014B,"The CH1 process alarm upper/lower limit value at any of the buffer memory addresses 86 to 93 (Un\G86 to Un\G93) is outside the -65536 to 65535 range.","Re-set the process alarm upper/lower limit value to within -65536 to 65535."
014C,"The CH2 process alarm upper/lower limit value at any of the buffer memory addresses 94 to 101 (Un\G94 to Un\G101) is outside the -65536 to 65535 range.","Re-set the process alarm upper/lower limit value to within -65536 to 65535."
0155,"The CH1 rate alarm upper/lower limit value at any of the buffer memory addresses 122 to 125 (Un\G122 to Un\G125) is outside the -65536 to 65535 range.","Re-set the rate alarm upper/lower limit value to within -65536 to 65535."
0156,"The CH2 rate alarm upper/lower limit value at any of the buffer memory addresses 126 to 129 (Un\G126 to Un\G129) is outside the -65536 to 65535 range.","Re-set the rate alarm upper/lower limit value to within -65536 to 65535."
015F,"The CH1 A/D conversion starting time setting at the buffer memory address 5 (Un\G5) is outside the 0 to 32767 range.","Re-set the A/D conversion starting time setting to within 0 to 32767."
0160,"The CH2 A/D conversion starting time setting at the buffer memory address 6 (Un\G6) is outside the 0 to 32767 range.","Re-set the A/D conversion starting time setting to within 0 to 32767."
0191,"The CH1 offset value is equal to or greater than the gain value at the time of user range setting or user range restoration.","Reset so that the offset value becomes smaller than the gain value."
0192,"The CH2 offset value is equal to or greater than the gain value at the time of user range setting or user range restoration.","Reset so that the offset value becomes smaller than the gain value."
01F4,"The offset/gain channels were set at the same time during offset and gain value settings, or both were set to 0.","Reset the contents of buffer memory addresses 22 and 23 (Un\G22 and Un\G23)."
