<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH1の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0066,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH2の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006F,起動時のユニットエラーです。,"電源のON/OFFを再び行ってください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0070,インテリジェント機能ユニットスイッチ5に0以外が設定されています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時はG(P).OGSTOR命令を実行しないでください。
00A2,"・G(P).OGSTOR命令が連続実行されています。
・オフセット・ゲイン設定時，設定値をE2PROMに26回以上書込みをしています。","・1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
・オフセット・ゲイン設定時，設定値の書込みを1度に1回のみにしてください。"
00A3,G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。,同一機種に対してG(P).OGLOAD，G(P).OGSTOR命令を実行してください。
00C9,CH1のバッファメモリアドレス1(Un\G1)の平均時間設定値が40～5000ms以外の設定になっています。,平均時間設定値を40～5000ms以内の設定にし直してください。
00CA,CH2のバッファメモリアドレス2(Un\G2)の平均時間設定値が40～5000ms以外の設定になっています。,平均時間設定値を40～5000ms以内の設定にし直してください。
012D,CH1のバッファメモリアドレス1(Un\G1)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
012E,CH2のバッファメモリアドレス2(Un\G2)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0137,CH1のバッファメモリアドレス1(Un\G1)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0138,CH2のバッファメモリアドレス2(Un\G2)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0141,CH1のバッファメモリアドレス1(Un\G1)の一次遅れフィルタの時定数設定値が10～5000以外の設定になっています。,時定数設定値を10～5000以内の設定にし直してください。
0142,CH2のバッファメモリアドレス2(Un\G2)の一次遅れフィルタの時定数設定値が10～5000以外の設定になっています。,時定数設定値を10～5000以内の設定にし直してください。
014B,CH1のバッファメモリアドレス86～93(Un\G86～Un\G93)のプロセスアラーム上・下限値が－65536～65535以外の設定になっています。,プロセスアラーム上・下限値を－65536～65535以内の設定にし直してください。
014C,CH2のバッファメモリアドレス94～101(Un\G94～Un\G101)のプロセスアラーム上・下限値が－65536～65535以外の設定になっています。,プロセスアラーム上・下限値を－65536～65535以内の設定にし直してください。
0155,CH1のバッファメモリアドレス122～125(Un\G122～Un\G125)のレートアラーム上・下限値が－65536～65535以外の設定になっています。,レートアラーム上・下限値を－65536～65535以内の設定にし直してください。
0156,CH2のバッファメモリアドレス126～129(Un\G126～Un\G129)のレートアラーム上・下限値が－65536～65535以外の設定になっています。,レートアラーム上・下限値を－65536～65535以内の設定にし直してください。
015F,CH1のバッファメモリアドレス5(Un\G5)のA/D変換開始時間設定が0～32767以外の設定になっています。,A/D変換開始時間設定を0～32767以内の設定にし直してください。
0160,CH2のバッファメモリアドレス6(Un\G6)のA/D変換開始時間設定が0～32767以外の設定になっています。,A/D変換開始時間設定を0～32767以内の設定にし直してください。
0191,CH1のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0192,CH2のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
01F4,オフセット・ゲイン設定中にオフセット・ゲインのチャンネルが同時に設定されているか，または共に0が設定されています。,"バッファメモリアドレス22,23(Un\G22,Un\G23)の内容を設定し直してください。"
026D,CH1のバッファメモリアドレス86～93(Un\G86～Un\G93)のプロセスアラーム上・下限値が矛盾のある設定（下下限値＞下上限値）になっています。,バッファメモリアドレス86～93(Un\G86～Un\G93)の内容を設定し直してください。
026E,CH2のバッファメモリアドレス94～101(Un\G94～Un\G101)のプロセスアラーム上・下限値が矛盾のある設定（下下限値＞下上限値）になっています。,バッファメモリアドレス94～101(Un\G94～Un\G101)の内容を設定し直してください。
0277,CH1のバッファメモリアドレス86～93(Un\G86～Un\G93)のプロセスアラーム上・下限値が矛盾のある設定（下上限値＞上下限値）になっています。,バッファメモリアドレス86～93(Un\G86～Un\G93)の内容を設定し直してください。
0278,CH2のバッファメモリアドレス94～101(Un\G94～Un\G101)のプロセスアラーム上・下限値が矛盾のある設定（下上限値＞上下限値）になっています。,バッファメモリアドレス94～101(Un\G94～Un\G101)の内容を設定し直してください。
0281,CH1のバッファメモリアドレス86～93(Un\G86～Un\G93)のプロセスアラーム上・下限値が矛盾のある設定（上下限値＞上上限値）になっています。,バッファメモリアドレス86～93(Un\G86～Un\G93)の内容を設定し直してください。
0282,CH2のバッファメモリアドレス94～101(Un\G94～Un\G101)のプロセスアラーム上・下限値が矛盾のある設定（上下限値＞上上限値）になっています。,バッファメモリアドレス94～101(Un\G94～Un\G101)の内容を設定し直してください。
02BD,CH1のバッファメモリアドレス118(Un\G118)のレートアラーム警報検出周期が10～5000ms以外の設定になっています。,レートアラーム警報検出周期を10～5000ms以内の設定にし直してください。
02BE,CH2のバッファメモリアドレス119(Un\G119)のレートアラーム警報検出周期が10～5000ms以外の設定になっています。,レートアラーム警報検出周期を10～5000ms以内の設定にし直してください。
02C7,CH1のバッファメモリアドレス118(Un\G118)のレートアラーム警報検出周期を変更時，レートアラーム警報検出周期が時間平均，回数平均の変換周期の倍数になっていません。,レートアラーム警報検出周期を時間平均，回数平均の変換周期の倍数になるように設定し直してください。
02C8,CH2のバッファメモリアドレス119(Un\G119)のレートアラーム警報検出周期を変更時，レートアラーム警報検出周期が時間平均，回数平均の変換周期の倍数になっていません。,レートアラーム警報検出周期を時間平均，回数平均の変換周期の倍数になるように設定し直してください。
02D1,CH1のバッファメモリアドレス1(Un\G1)の時間平均，回数平均の設定変更時，レートアラーム警報検出周期が時間平均，回数平均の変換周期の倍数になっていません。,レートアラーム警報検出周期が時間平均，回数平均の変換周期の倍数になるように時間平均，回数平均の設定を設定し直してください。
02D2,CH2のバッファメモリアドレス2(Un\G2)の時間平均，回数平均の設定変更時，レートアラーム警報検出周期が時間平均，回数平均の変換周期の倍数になっていません。,レートアラーム警報検出周期が時間平均，回数平均の変換周期の倍数になるように時間平均，回数平均の設定を設定し直してください。
0321,CH1のバッファメモリアドレス138(Un\G138)の入力信号異常検出設定値が0～250以外の設定になっています。,入力信号異常検出設定値を0～250以内の設定にし直してください。
0322,CH2のバッファメモリアドレス139(Un\G139)の入力信号異常検出設定値が0～250以外の設定になっています。,入力信号異常検出設定値を0～250以内の設定にし直してください。
</ERRCODE>,,
