<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH1の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0066,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH2の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006F,起動時のユニットエラーです。,"電源のON/OFFを再び行ってください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0070,インテリジェント機能スイッチ5に0以外が設定されています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時は，G(P).OGSTOR命令を実行しないでください。
00A2,"・G(P).OGSTOR命令が連続実行されています。
・オフセット・ゲイン設定時，設定値をE2PROMに連続26回以上書込みをしています。","・1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
・オフセット・ゲイン設定時，設定値の書込みを1度に一回のみにしてください。"
00A3,G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。,同一機種に対してG(P).OGLOAD，G(P).OGSTOR命令を実行してください。
00A4,G(P).OGLOAD命令，G(P).OGSTOR命令または待避データ種別設定（バッファメモリアドレス200：Un\G200）に範囲外の値を設定した。,範囲内の値を設定してください。
0191,CH1がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0192,CH2がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
01F4,オフセット・ゲイン設定中に複数チャンネルが同時に設定されています。,"バッファメモリアドレス22,23(Un\G22,Un\G23)に正しい値を設定してください。"
0259,CH1に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
025A,CH2に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
0263,CH1の警報出力上限値／下限値が－16384～16383以外に設定されています。,バッファメモリアドレス86～87(Un\G86～87)の内容を，－16384～16383の範囲に修正してください。
0264,CH2の警報出力上限値／下限値が－16384～16383以外に設定されています。,バッファメモリアドレス88～89(Un\G88～89)の内容を，－16384～16383の範囲に修正してください。
026D,CH1の警報出力下限値≧警報出力上限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
026E,CH2の警報出力下限値≧警報出力上限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
02BC,オフセット・ゲイン設定モード中における，アナログ調整出力の設定値範囲外です。,バッファメモリアドレス24(Un\G24)の内容を，－3000～3000の範囲に修正してください。
02C6,オフセット・ゲインレンジ設定がDH～FH以外に設定されています。,バッファメモリアドレス25(Un\G25)の内容をDH～FHに修正してください。
0321,CH1の増加／減少ディジタルリミット値が0～32000以外に設定されています。,バッファメモリアドレス70～71(Un\G70～71)の内容を，0～32000の範囲に修正してください。
0322,CH2の増加／減少ディジタルリミット値が0～32000以外に設定されています。,バッファメモリアドレス72～73(Un\G72～73)の内容を，0～32000の範囲に修正してください。
</ERRCODE>,,
