<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,"An invalid value is set in the CH1 input range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0066,"An invalid value is set in the CH2 input range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0067,"An invalid value is set in the CH3 input range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0068,"An invalid value is set in the CH4 input range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
006F,"Module error at startup.","Turn the power OFF and ON again. If the error occurs again, the module may be malfunctioning. Contact the nearest distributor or branch office with the description of the problem."
0070,"The setting of the intelligent function module switch 5 is other than 0.","Set the correct parameter value in the parameter setting of MELSOFT application."
00A1,"The G(P).OGSTOR instruction was executed in the offset/gain setting mode.","Do not execute the G(P).OGSTOR instruction in the offset/gain setting mode."
00A2,"* The G(P).OGSTOR instruction was executed consecutively.
* At the time of offset/gain setting, a set value was written to the E2PROM 26 or more times.","* Execute the G(P).OGSTOR instruction only once for one module.
* At the time of offset/gain setting, write a set value only once at one time."
00A3,"The G(P).OGSTOR instruction was executed for the model that differs from the model for which the G(P).OGLOAD instruction had been executed.","Execute the G(P).OGLOAD and G(P).OGSTOR instructions for the same model."
00C9,"The CH1 average time setting at the buffer memory address 1 (Un\G1) is outside the 40 to 5000ms range. ","Re-set the average time setting to within 40 to 5000ms."
00CA,"The CH2 average time setting at the buffer memory address 2 (Un\G2) is outside the 40 to 5000ms range. ","Re-set the average time setting to within 40 to 5000ms."
00CB,"The CH3 average time setting at the buffer memory address 3 (Un\G3) is outside the 40 to 5000ms range. ","Re-set the average time setting to within 40 to 5000ms."
00CC,"The CH4 average time setting at the buffer memory address 4 (Un\G4) is outside the 40 to 5000ms range. ","Re-set the average time setting to within 40 to 5000ms."
012D,"The CH1 average count setting at the buffer memory address 1 (Un\G1) is outside the 4 to 500 times range.","Re-set the average count setting to within 4 to 500 times."
012E,"The CH2 average count setting at the buffer memory address 2 (Un\G2) is outside the 4 to 500 times range.","Re-set the average count setting to within 4 to 500 times."
012F,"The CH3 average count setting at the buffer memory address 3 (Un\G3) is outside the 4 to 500 times range.","Re-set the average count setting to within 4 to 500 times."
0130,"The CH4 average count setting at the buffer memory address 4 (Un\G4) is outside the 4 to 500 times range.","Re-set the average count setting to within 4 to 500 times."
0137,"The CH1 move average count setting at the buffer memory address 1 (Un\G1) is outside the 2 to 60 times range.","Re-set the move average count setting to within 2 to 60 times."
0138,"The CH2 move average count setting at the buffer memory address 2 (Un\G2) is outside the 2 to 60 times range.","Re-set the move average count setting to within 2 to 60 times."
0139,"The CH3 move average count setting at the buffer memory address 3 (Un\G3) is outside the 2 to 60 times range.","Re-set the move average count setting to within 2 to 60 times."
013A,"The CH4 move average count setting at the buffer memory address 4 (Un\G4) is outside the 2 to 60 times range.","Re-set the move average count setting to within 2 to 60 times."
0141,"The CH1 time constant setting of the primary delay filter at the buffer memory address 1 (Un\G1) is outside the 10 to 5000 range.","Re-set the time constant setting to within 10 to 5000."
0142,"The CH2 time constant setting of the primary delay filter at the buffer memory address 2 (Un\G2) is outside the 10 to 5000 range.","Re-set the time constant setting to within 10 to 5000."
0143,"The CH3 time constant setting of the primary delay filter at the buffer memory address 3 (Un\G3) is outside the 10 to 5000 range.","Re-set the time constant setting to within 10 to 5000."
0144,"The CH4 time constant setting of the primary delay filter at the buffer memory address 4 (Un\G4) is outside the 10 to 5000 range.","Re-set the time constant setting to within 10 to 5000."
