<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH1の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0066,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH2の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0067,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH3の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0068,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH4の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006F,起動時のユニットエラーです。,"電源のON/OFFを再び行ってください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時はG(P).OGSTOR命令を実行しないでください。
00A2,"・G(P).OGSTOR命令が連続実行されています。
・オフセット・ゲイン設定時，設定値をE2PROMに26回以上書込みをしています。","・1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
・オフセット・ゲイン設定時，設定値の書込みを1度に1回のみにしてください。"
00A3,G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。,"同一機種に対しててG(P).OGLOAD，G(P).OGSTOR命令を実行してください。"
00C9,CH1のバッファメモリアドレス1(Un\G1)の平均時間設定値が2～5000ms以外の設定になっています。,平均時間設定値を2～5000ms以内の設定にし直してください。
00CA,CH2のバッファメモリアドレス2(Un\G2)の平均時間設定値が2～5000ms以外の設定になっています。,平均時間設定値を2～5000ms以内の設定にし直してください。
00CB,CH3のバッファメモリアドレス3(Un\G3)の平均時間設定値が2～5000ms以外の設定になっています。,平均時間設定値を2～5000ms以内の設定にし直してください。
00CC,CH4のバッファメモリアドレス4(Un\G4)の平均時間設定値が2～5000ms以外の設定になっています。,平均時間設定値を2～5000ms以内の設定にし直してください。
012D,CH1のバッファメモリアドレス1(Un\G1)の平均回数設定値が4～62500回以外の設定になっています。,平均回数設定値を4～62500回以内の設定にし直してください。
012E,CH2のバッファメモリアドレス2(Un\G2)の平均回数設定値が4～62500回以外の設定になっています。,平均回数設定値を4～62500回以内の設定にし直してください。
012F,CH3のバッファメモリアドレス3(Un\G3)の平均回数設定値が4～62500回以外の設定になっています。,平均回数設定値を4～62500回以内の設定にし直してください。
0130,CH4のバッファメモリアドレス4(Un\G4)の平均回数設定値が4～62500回以外の設定になっています。,平均回数設定値を4～62500回以内の設定にし直してください。
0191,CH1のユーザレンジ設定時，またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0192,CH2のユーザレンジ設定時，またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0193,CH3のユーザレンジ設定時，またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0194,CH4のユーザレンジ設定時，またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
01F4,オフセット・ゲイン設定中にオフセット・ゲインのチャンネルが同時に設定されているか，または共に0が設定されています。,"バッファメモリアドレス22,23(Un\G22,Un\G23)の内容を設定し直してください。"
</ERRCODE>,,
