<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,インテリジェント機能ユニットスイッチ設定で，CH1の測定レンジ設定が0～5,8以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0066,インテリジェント機能ユニットスイッチ設定で，CH2の測定レンジ設定が0～5,8以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0067,インテリジェント機能ユニットスイッチ設定で，CH3の測定レンジ設定が0～5,8以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0068,インテリジェント機能ユニットスイッチ設定で，CH4の測定レンジ設定が0～5,8以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
006F,起動時のユニットエラーです。,"電源のOFF／ONを再度行ってください。
再度発生するときは，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0070,インテリジェント機能ユニットスイッチ設定5が0以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0079,インテリジェント機能ユニットスイッチ設定で，CH1のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
007A,インテリジェント機能ユニットスイッチ設定で，CH2のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
007B,インテリジェント機能ユニットスイッチ設定で，CH3のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
007C,インテリジェント機能ユニットスイッチ設定で，CH4のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0083,インテリジェント機能ユニットスイッチ設定で，CH1の3導線式／4導線式の設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0084,インテリジェント機能ユニットスイッチ設定で，CH2の3導線式／4導線式の設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0085,インテリジェント機能ユニットスイッチ設定で，CH3の3導線式／4導線式の設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0086,インテリジェント機能ユニットスイッチ設定で，CH4の3導線式／4導線式の設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時はG(P).OGSTOR命令を実行しないでください。
00A2,"G(P).OGSTOR命令が連続実行されています。
オフセット・ゲイン設定時，設定値をE2PROMに26回以上書込みをしています。","1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
オフセット・ゲイン設定時，設定値の書込みを1度に1回のみにしてください。"
00A3,"・G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。
・G(P).OGLOAD命令を実行する前にG(P).OGSTOR命令が実行されました。","・G(P).OGLOAD，G(P).OGSTOR命令は，同一機種に対して実行してください。
・G(P).OGLOAD，G(P).OGSTOR命令の順に実行してください。"
00C9,CH1の平均時間設定値が設定範囲外になっています。,バッファメモリのアドレス1(Un\G1)の内容を設定し直してください。
00CA,CH2の平均時間設定値が設定範囲外になっています。,バッファメモリのアドレス2(Un\G2)の内容を設定し直してください。
00CB,CH3の平均時間設定値が設定範囲外になっています。,バッファメモリのアドレス3(Un\G3)の内容を設定し直してください。
00CC,CH4の平均時間設定値が設定範囲外になっています。,バッファメモリのアドレス4(Un\G4)の内容を設定し直してください。
012D,CH1の平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス1(Un\G1)の内容を設定し直してください。
012E,CH2の平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス2(Un\G2)の内容を設定し直してください。
012F,CH3の平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス3(Un\G3)の内容を設定し直してください。
0130,CH4の平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス4(Un\G4)の内容を設定し直してください。
0137,CH1の移動平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス1(Un\G1)の内容を設定し直してください。
0138,CH2の移動平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス2(Un\G2)の内容を設定し直してください。
0139,CH3の移動平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス3(Un\G3)の内容を設定し直してください。
013A,CH4の移動平均回数設定値が設定範囲外になっています。,バッファメモリのアドレス4(Un\G4)の内容を設定し直してください。
0141,CH1の時定数設定値が設定範囲外になっています。,バッファメモリのアドレス1(Un\G1)の内容を設定し直してください。
0142,CH2の時定数設定値が設定範囲外になっています。,バッファメモリのアドレス2(Un\G2)の内容を設定し直してください。
0143,CH3の時定数設定値が設定範囲外になっています。,バッファメモリのアドレス3(Un\G3)の内容を設定し直してください。
0144,CH4の時定数設定値が設定範囲外になっています。,バッファメモリのアドレス4(Un\G4)の内容を設定し直してください。
0191,CH1のオフセット・ゲイン設定時または，ユーザ設定復元時，ゲイン値－オフセット値≦0.1[℃]となっています。,バッファメモリの設定値を直してください。または測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0192,CH2のオフセット・ゲイン設定時または，ユーザ設定復元時，ゲイン値－オフセット値≦0.1[℃]となっています。,バッファメモリの設定値を直してください。または測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0193,CH3のオフセット・ゲイン設定時または，ユーザ設定復元時，ゲイン値－オフセット値≦0.1[℃]となっています。,バッファメモリの設定値を直してください。または測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0194,CH4のオフセット・ゲイン設定時または，ユーザ設定復元時，ゲイン値－オフセット値≦0.1[℃]となっています。,バッファメモリの設定値を直してください。または測温抵抗体入力端子の抵抗値を測定しチェックしてください。
01F5,オフセット･ゲイン設定モードで，CH1のオフセット設定要求(Y1)，またはゲイン設定要求(Y2)をONした時，そのチャンネルのインテリジェント機能ユニットスイッチ設定のオフセット・ゲイン設定がユーザレンジ設定になっていません。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
01F6,オフセット･ゲイン設定モードで，CH2のオフセット設定要求(Y3)，またはゲイン設定要求(Y4)をONした時，そのチャンネルのインテリジェント機能ユニットスイッチ設定のオフセット・ゲイン設定がユーザレンジ設定になっていません。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
01F7,オフセット･ゲイン設定モードで，CH3のオフセット設定要求(Y5)，またはゲイン設定要求(Y6)をONした時，そのチャンネルのインテリジェント機能ユニットスイッチ設定のオフセット・ゲイン設定がユーザレンジ設定になっていません。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
01F8,オフセット･ゲイン設定モードで，CH4のオフセット設定要求(Y7)，またはゲイン設定要求(Y8)をONした時，そのチャンネルのインテリジェント機能ユニットスイッチ設定のオフセット・ゲイン設定がユーザレンジ設定になっていません。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
