<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,インテリジェント機能ユニットスイッチ設定で，CH1の入力タイプ設定が0～7以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0066,インテリジェント機能ユニットスイッチ設定で，CH2の入力タイプ設定が0～7以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0067,インテリジェント機能ユニットスイッチ設定で，CH3の入力タイプ設定が0～7以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
0068,インテリジェント機能ユニットスイッチ設定で，CH4の入力タイプ設定が0～7以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
006F,起動時のユニットエラーです。,"電源のOFF／ONを再度行ってください。
再度発生するときは，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0079,インテリジェント機能ユニットスイッチ設定で，CH1のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
007A,インテリジェント機能ユニットスイッチ設定で，CH2のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
007B,インテリジェント機能ユニットスイッチ設定で，CH3のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
007C,インテリジェント機能ユニットスイッチ設定で，CH4のオフセット・ゲイン設定が0，1以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時はG(P).OGSTOR命令を実行しないでください。
00A2,"・G(P).OGSTOR命令が連続実行されています。
・オフセット・ゲイン設定時，設定値をE2PROMに26回以上書込みをしています。","・1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
・オフセット・ゲイン設定時，設定値の書込みを1度に1回のみにしてください。"
00A3,"・G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。
・G(P).OGLOAD命令を実行する前にG(P).OGSTOR命令が実行されました。","・G(P).OGLOAD，G(P).OGSTOR命令は，同一機種に対して実行してください。
・G(P).OGLOAD，G(P).OGSTOR命令の順に実行してください。"
