<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,MELSOFT製品でのインテリジェント機能ユニットスイッチで、CH1の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0066,MELSOFT製品でのインテリジェント機能ユニットスイッチで、CH2の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0067,MELSOFT製品でのインテリジェント機能ユニットスイッチで、CH3の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0068,MELSOFT製品でのインテリジェント機能ユニットスイッチで、CH4の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0069,MELSOFT製品でのインテリジェント機能ユニットスイッチで、CH5の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006A,MELSOFT製品でのインテリジェント機能ユニットスイッチで、CH6の入力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006F,ユニットのハードウェアエラーです。,"電源のON/OFFを再び行ってください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0070,インテリジェント機能ユニットスイッチ5に0H以外が設定されています。,MELSOFT製品のパラメータ設定でインテリジェント機能スイッチ5に0Hを設定してください。
0078,オフセット・ゲイン設定の設定値が不正です。エラーの発生したチャンネル番号は特定できません。,"ユーザレンジ設定を使用している全てのチャンネルに対して，オフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0079,CH1のオフセット・ゲイン設定の設定値が不正です。,"CH1のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007A,CH2のオフセット・ゲイン設定の設定値が不正です。,"CH2のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007B,CH3のオフセット・ゲイン設定の設定値が不正です。,"CH3のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007C,CH4のオフセット・ゲイン設定の設定値が不正です。,"CH4のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007D,CH5のオフセット・ゲイン設定の設定値が不正です。,"CH5のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007E,CH6のオフセット・ゲイン設定の設定値が不正です。,"CH6のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時はG(P).OGSTOR命令を実行しないでください。
00A2,"・G(P).OGSTOR命令が連続実行されています。
・オフセット・ゲイン設定時，設定値をフラッシュメモリに26回以上書込みをしています。","・1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
・オフセット・ゲイン設定時，設定値の書込みを1度に1回のみにしてください。"
00A3,G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。,同一機種に対してG(P).OGLOAD，G(P).OGSTOR命令を実行してください。
00C9,Un\G1に設定したCH1の平均時間設定値が，40～5000ms以外の値になっています。,"平均時間設定値を40～5000ms以内の設定にし直してください。
また，設定値には必ず「4×10×使用チャンネル数」以上の値を設定してください。"
00CA,Un\G2に設定したCH2の平均時間設定値が，40～5000ms以外の値になっています。,"平均時間設定値を40～5000ms以内の設定にし直してください。
また，設定値には必ず「4×10×使用チャンネル数」以上の値を設定してください。"
00CB,Un\G3に設定したCH3の平均時間設定値が，40～5000ms以外の値になっています。,"平均時間設定値を40～5000ms以内の設定にし直してください。
また，設定値には必ず「4×10×使用チャンネル数」以上の値を設定してください。"
00CC,Un\G4に設定したCH4の平均時間設定値が，40～5000ms以外の値になっています。,"平均時間設定値を40～5000ms以内の設定にし直してください。
また，設定値には必ず「4×10×使用チャンネル数」以上の値を設定してください。"
00CD,Un\G5に設定したCH5の平均時間設定値が，40～5000ms以外の値になっています。,"平均時間設定値を40～5000ms以内の設定にし直してください。
また，設定値には必ず「4×10×使用チャンネル数」以上の値を設定してください。"
00CE,Un\G6に設定したCH6の平均時間設定値が，40～5000ms以外の値になっています。,"平均時間設定値を40～5000ms以内の設定にし直してください。
また，設定値には必ず「4×10×使用チャンネル数」以上の値を設定してください。"
012D,Un\G1に設定したCH1の平均回数設定値が，4～500回以外の値になっています。,平均回数設定値を4～500回以内の設定にし直してください。
012E,Un\G2に設定したCH2の平均回数設定値が，4～500回以外の値になっています。,平均回数設定値を4～500回以内の設定にし直してください。
012F,Un\G3に設定したCH3の平均回数設定値が，4～500回以外の値になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0130,Un\G4に設定したCH4の平均回数設定値が，4～500回以外の値になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0131,Un\G5に設定したCH5の平均回数設定値が，4～500回以外の値になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0132,Un\G6に設定したCH6の平均回数設定値が，4～500回以外の値になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0137,Un\G1に設定したCH1の移動平均回数設定値が，2～60回以外の値になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0138,Un\G2に設定したCH2の移動平均回数設定値が，2～60回以外の値になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0139,Un\G3に設定したCH3の移動平均回数設定値が，2～60回以外の値になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013A,Un\G4に設定したCH4の移動平均回数設定値が，2～60回以外の値になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013B,Un\G5に設定したCH5の移動平均回数設定値が，2～60回以外の値になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013C,Un\G6に設定したCH6の移動平均回数設定値が，2～60回以外の値になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0141,Un\G1に設定したCH1の一次遅れフィルタの時定数設定値が，10～5000以外の値になっています。,"時定数設定値を10～5000以内の設定にし直してください。
また，設定値には必ず「10×使用チャンネル数」以上の値を設定してください。"
0142,Un\G2に設定したCH2の一次遅れフィルタの時定数設定値が，10～5000以外の値になっています。,"時定数設定値を10～5000以内の設定にし直してください。
また，設定値には必ず「10×使用チャンネル数」以上の値を設定してください。"
0143,Un\G3に設定したCH3の一次遅れフィルタの時定数設定値が，10～5000以外の値になっています。,"時定数設定値を10～5000以内の設定にし直してください。
また，設定値には必ず「10×使用チャンネル数」以上の値を設定してください。"
0144,Un\G4に設定したCH4の一次遅れフィルタの時定数設定値が，10～5000以外の値になっています。,"時定数設定値を10～5000以内の設定にし直してください。
また，設定値には必ず「10×使用チャンネル数」以上の値を設定してください。"
0145,Un\G5に設定したCH5の一次遅れフィルタの時定数設定値が，10～5000以外の値になっています。,"時定数設定値を10～5000以内の設定にし直してください。
また，設定値には必ず「10×使用チャンネル数」以上の値を設定してください。"
0146,Un\G6に設定したCH6の一次遅れフィルタの時定数設定値が，10～5000以外の値になっています。,"時定数設定値を10～5000以内の設定にし直してください。
また，設定値には必ず「10×使用チャンネル数」以上の値を設定してください。"
0155,CH1のレートアラーム上・下限値(Un\G126～Un\G127)の設定値が，下限値≧上限値になっています。,CH1のレートアラーム上・下限値(Un\G126～Un\G127)を，下限値＜上限値に設定し直してください。
0156,CH2のレートアラーム上・下限値(Un\G128～Un\G129)の設定値が，下限値≧上限値になっています。,CH2のレートアラーム上・下限値(Un\G128～Un\G129)を，下限値＜上限値に設定し直してください。
0157,CH3のレートアラーム上・下限値(Un\G130～Un\G131)の設定値が，下限値≧上限値になっています。,CH3のレートアラーム上・下限値(Un\G130～Un\G131)を，下限値＜上限値に設定し直してください。
0158,CH4のレートアラーム上・下限値(Un\G132～Un\G133)の設定値が，下限値≧上限値になっています。,CH4のレートアラーム上・下限値(Un\G132～Un\G133)を，下限値＜上限値に設定し直してください。
0159,CH5のレートアラーム上・下限値(Un\G134～Un\G135)の設定値が，下限値≧上限値になっています。,CH5のレートアラーム上・下限値(Un\G134～Un\G135)を，下限値＜上限値に設定し直してください。
015A,CH6のレートアラーム上・下限値(Un\G136～Un\G137)の設定値が，下限値≧上限値になっています。,CH6のレートアラーム上・下限値(Un\G136～Un\G137)を，下限値＜上限値に設定し直してください。
015F,CH1の変換開始時間設定（二線式伝送器用）(Un\G78)が0～32767以外の設定になっています。,変換開始時間設定（二線式伝送器用）を0～32767以内の設定にし直してください。
0160,CH2の変換開始時間設定（二線式伝送器用）(Un\G79)が0～32767以外の設定になっています。,変換開始時間設定（二線式伝送器用）を0～32767以内の設定にし直してください。
0161,CH3の変換開始時間設定（二線式伝送器用）(Un\G80)が0～32767以外の設定になっています。,変換開始時間設定（二線式伝送器用）を0～32767以内の設定にし直してください。
0162,CH4の変換開始時間設定（二線式伝送器用）(Un\G81)が0～32767以外の設定になっています。,変換開始時間設定（二線式伝送器用）を0～32767以内の設定にし直してください。
0163,CH5の変換開始時間設定（二線式伝送器用）(Un\G82)が0～32767以外の設定になっています。,変換開始時間設定（二線式伝送器用）を0～32767以内の設定にし直してください。
0164,CH6の変換開始時間設定（二線式伝送器用）(Un\G83)が0～32767以外の設定になっています。,変換開始時間設定（二線式伝送器用）を0～32767以内の設定にし直してください。
0191,CH1のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0192,CH2のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0193,CH3のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0194,CH4のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0195,CH5のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0196,CH6のユーザレンジ設定時またはユーザレンジ復元時，オフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
01F4,オフセット・ゲイン設定時，オフセット指定(Un\G22)とゲイン指定(Un\G23)の両方同時にチャンネルが設定されているか，または両方同時に0が設定されています。,オフセット指定(Un\G22)，ゲイン指定(Un\G23)の内容を設定し直してください。
026D,CH1のプロセスアラーム上・下限値(Un\G86～Un\G89)が矛盾のある設定（下下限値＞下上限値）になっています。,プロセスアラーム上・下限値(Un\G86～Un\G89)の内容を設定し直してください。
026E,CH2のプロセスアラーム上・下限値(Un\G90～Un\G93)が矛盾のある設定（下下限値＞下上限値）になっています。,プロセスアラーム上・下限値(Un\G90～Un\G93)の内容を設定し直してください。
