<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,"An invalid value is set in the CH1 output range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0066,"An invalid value is set in the CH2 output range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0067,"An invalid value is set in the CH3 output range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0068,"An invalid value is set in the CH4 output range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0069,"An invalid value is set in the CH5 output range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
006A,"An invalid value is set in the CH6 output range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
006F,"Hardware error of the module.","Turn the power ON and OFF again. If the error occurs again, the module may be malfunctioning. Contact the nearest distributor or branch office with a description of the problem."
0070,"The value set to the intelligent function switch 5 is other than 0.","Re-set the correct parameter value in the parameter setting of MELSOFT application."
0078,"An invalid value is set in the offset/gain setting. The number of the error channel cannot be identified.","Perform the offset/gain setting again for all of the channels that use the user range settings.
If the error occurs again, the module may be malfunctioning. Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
0079,"An invalid value is set in the CH1 offset/gain setting.","Perform the offset/gain setting again for CH1.
If the error occurs again, the module may be malfunctioning. Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
007A,"An invalid value is set in the CH2 offset/gain setting.","Perform the offset/gain setting again for CH2.
If the error occurs again, the module may be malfunctioning. Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
007B,"An invalid value is set in the CH3 offset/gain setting.","Perform the offset/gain setting again for CH3.
If the error occurs again, the module may be malfunctioning. Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
007C,"An invalid value is set in the CH4 offset/gain setting.","Perform the offset/gain setting again for CH4.
If the error occurs again, the module may be malfunctioning. Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
007D,"An invalid value is set in the CH5 offset/gain setting.","Perform the offset/gain setting again for CH5.
If the error occurs again, the module may be malfunctioning. Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
007E,"An invalid value is set in the CH6 offset/gain setting.","Perform the offset/gain setting again for CH6.
If the error occurs again, the module may be malfunctioning. Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
00A1,"The G(P).OGSTOR instruction was executed in the offset/gain setting mode.","Do not execute the G(P).OGSTOR instruction in the offset/gain setting mode."
00A2,"* The G(P).OGSTOR instruction was executed consecutively.
* At the time of offset/gain setting, a set value was written to the flash memory 26 or more times consecutively.","* Execute the G(P).OGSTOR instruction only once for one module.
* At the time of offset/gain setting, write a set value only once at one time."
00A3,"The G(P).OGSTOR instruction was executed for the model that differs from the model for which the G(P).OGLOAD instruction had been executed.","Execute the G(P).OGLOAD and G(P).OGSTOR instructions for the same model."
00A4,"The value set to the G(P).OGLOAD instruction, G(P).OGSTOR instruction or save data classification setting (Un\G200) is outside the range.","Set the value within the range."
0191,"The CH1 offset value is equal to or larger than the gain value.","Reset so that the offset value is smaller than the gain value."
0192,"The CH2 offset value is equal to or larger than the gain value.","Reset so that the offset value is smaller than the gain value."
0193,"The CH3 offset value is equal to or larger than the gain value.","Reset so that the offset value is smaller than the gain value."
0194,"The CH4 offset value is equal to or larger than the gain value.","Reset so that the offset value is smaller than the gain value."
0195,"The CH5 offset value is equal to or larger than the gain value.","Reset so that the offset value is smaller than the gain value."
0196,"The CH6 offset value is equal to or larger than the gain value.","Reset so that the offset value is smaller than the gain value."
01F4,"More than one channel was set at the same time during offset/gain settings.","Set the correct value in offset/ gain setting mode(Un\G22, Un\G23)."
0259,"The CH1 specified digital value is outside the range.","Set a value that is within the range."
025A,"The CH2 specified digital value is outside the range.","Set a value that is within the range."
025B,"The CH3 specified digital value is outside the range.","Set a value that is within the range."
025C,"The CH4 specified digital value is outside the range.","Set a value that is within the range."
025D,"The CH5 specified digital value is outside the range.","Set a value that is within the range."
025E,"The CH6 specified digital value is outside the range.","Set a value that is within the range."
0263,"The CH1 warning output upper/lower limit value setting is outside the range -32000 to 32000.","Correct the contents of the warning output upper limit value/lower limit value (Un\G86 and 87) to within the range -32000 to 32000."
0264,"The CH2 warning output upper/lower limit value setting is outside the range -32000 to 32000.","Correct the contents of the warning output upper limit value/lower limit value (Un\G88 and 89) to within the range -32000 to 32000."
0265,"The CH3 warning output upper/lower limit value setting is outside the range -32000 to 32000.","Correct the contents of the warning output upper limit value/lower limit value (Un\G90 and 91) to within the range -32000 to 32000."
0266,"The CH4 warning output upper/lower limit value setting is outside the range -32000 to 32000.","Correct the contents of the warning output upper limit value/lower limit value (Un\G92 and 93) to within the range -32000 to 32000."
0267,"The CH5 warning output upper/lower limit value setting is outside the range -32000 to 32000.","Correct the contents of the warning output upper limit value/lower limit value (Un\G94 and 95) to within the range -32000 to 32000."
0268,"The CH6 warning output upper/lower limit value setting is outside the range -32000 to 32000.","Correct the contents of the warning output upper limit value/lower limit value (Un\G96 and 97) to within the range -32000 to 32000."
026D,"The CH1 warning output lower limit value is equal to or greater than the warning output upper limit value.","Make setting so that the warning output upper limit value is greater than the warning output lower limit value."
026E,"The CH2 warning output lower limit value is equal to or greater than the warning output upper limit value.","Make setting so that the warning output upper limit value is greater than the warning output lower limit value."
026F,"The CH3 warning output lower limit value is equal to or greater than the warning output upper limit value.","Make setting so that the warning output upper limit value is greater than the warning output lower limit value."
0270,"The CH4 warning output lower limit value is equal to or greater than the warning output upper limit value.","Make setting so that the warning output upper limit value is greater than the warning output lower limit value."
0271,"The CH5 warning output lower limit value is equal to or greater than the warning output upper limit value.","Make setting so that the warning output upper limit value is greater than the warning output lower limit value."
0272,"The CH6 warning output lower limit value is equal to or greater than the warning output upper limit value.","Make setting so that the warning output upper limit value is greater than the warning output lower limit value."
02BC,"The analog adjustment output in the offset/gain setting mode is outside the specified value range.","Change the contents of offset/gain adjustment value specification (Un\G24) so that it is within the range from -3000 to 3000."
02C6,"The offset/gain range setting is outside the range DH to FH.","Correct the contents of the buffer memory address 25 (Un\G25) to within the range DH to FH."
0321,"The CH1 increase/decrease digital limit value setting is outside the range 0 to 64000.","Correct the contents of the increase/decrease digital limit values (Un\G70 and Un\G71) to within the range 0 to 64000."
0322,"The CH2 increase/decrease digital limit value setting is outside the range 0 to 64000.","Correct the contents of the increase/decrease digital limit values (Un\G72 and Un\G73) to within the range 0 to 64000."
0323,"The CH3 increase/decrease digital limit value setting is outside the range 0 to 64000.","Correct the contents of the increase/decrease digital limit values (Un\G74 and Un\G75) to within the range 0 to 64000."
0324,"The CH4 increase/decrease digital limit value setting is outside the range 0 to 64000.","Correct the contents of the increase/decrease digital limit values (Un\G76 and Un\G77) to within the range 0 to 64000."
0325,"The CH5 increase/decrease digital limit value setting is outside the range 0 to 64000.","Correct the contents of the increase/decrease digital limit values (Un\G78 and Un\G79) to within the range 0 to 64000."
0326,"The CH6 increase/decrease digital limit value setting is outside the range 0 to 64000.","Correct the contents of the increase/decrease digital limit values (Un\G80 and Un\G81) to within the range 0 to 64000."
0385,"The CH1 scaling upper/lower limit value is set outside the range of -32000 to 32000.","Correct the scaling upper/lower limit value (Un\G54 and Un\G55) within the range of -32000 to 32000."
0386,"The CH2 scaling upper/lower limit value is set outside the range of -32000 to 32000.","Correct the scaling upper/lower limit value (Un\G56 and Un\G57) within the range of -32000 to 32000."
