<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH1の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0066,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH2の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0067,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH3の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0068,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH4の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0069,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH5の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006A,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH6の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006F,ユニットのハードウェアエラーです。,"電源のON/OFF を再び行ってください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0070,インテリジェント機能スイッチ5に0H以外が設定されています。,MELSOFT製品のパラメータ設定でインテリジェント機能スイッチ5に0Hを設定してください。
0078,オフセット・ゲイン設定の設定値が不正です。エラーの発生したチャンネル番号は特定できません。,"ユーザレンジ設定を使用している全てのチャンネルに対して，オフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0079,CH1のオフセット・ゲイン設定の設定値が不正です。,"CH1のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007A,CH2のオフセット・ゲイン設定の設定値が不正です。,"CH2のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007B,CH3のオフセット・ゲイン設定の設定値が不正です。,"CH3のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007C,CH4のオフセット・ゲイン設定の設定値が不正です。,"CH4のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007D,CH5のオフセット・ゲイン設定の設定値が不正です。,"CH5のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007E,CH6のオフセット・ゲイン設定の設定値が不正です。,"CH6のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時は，G(P).OGSTOR命令を実行しないでください。
00A2,"・G(P).OGSTOR命令が連続実行されています。
・オフセット・ゲイン設定時，設定値をフラッシュメモリに連続26回以上書込みをしています。","・1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
・オフセット・ゲイン設定時，設定値の書込みを1度に一回のみにしてください。"
00A3,G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。,同一機種に対してG(P).OGLOAD，G(P).OGSTOR命令を実行してください。
00A4,G(P).OGLOAD命令，G(P).OGSTOR命令または待避データ種別設定（Un\G200）に範囲外の値を設定した。,範囲内の値を設定してください。
0191,CH1がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0192,CH2がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0193,CH3がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0194,CH4がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0195,CH5がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
0196,CH6がオフセット値≧ゲイン値となっています。,オフセット値＜ゲイン値に設定し直してください。
