<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,インテリジェント機能ユニットスイッチ設定で，CH1の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0066,インテリジェント機能ユニットスイッチ設定で，CH2の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0067,インテリジェント機能ユニットスイッチ設定で，CH3の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0068,インテリジェント機能ユニットスイッチ設定で，CH4の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
0069,インテリジェント機能ユニットスイッチ設定で，CH5の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006A,インテリジェント機能ユニットスイッチ設定で，CH6の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006B,インテリジェント機能ユニットスイッチ設定で，CH7の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006C,インテリジェント機能ユニットスイッチ設定で，CH8の測定レンジ設定が0～5，8以外の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
006F,ユニットのハードウェアエラーです。,"電源のON/OFFを再び行ってください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0070,インテリジェント機能ユニットスイッチ5が0以外の設定になっています。,MELSOFT製品のパラメータ設定でインテリジェント機能ユニットスイッチ5に0を設定してください。
0078,ユーザレンジデータが不正です。またエラーとなっているチャンネル番号の特定はできません。,"スイッチ設定でユーザレンジ設定を使用している全チャンネルに対して，オフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0079,CH1のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007A,CH2のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007B,CH3のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007C,CH4のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007D,CH5のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007E,CH6のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007F,CH7のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0080,CH8のユーザレンジデータが不正です。,"エラーとなっているチャンネルに対して，ユーザレンジ設定のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時はG(P).OGSTOR命令を実行しないでください。
00A2,"・G(P).OGSTOR命令が連続実行されています。
・オフセット・ゲイン設定時，設定値をフラッシュメモリに26回以上書込みをしています。","・1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
・オフセット・ゲイン設定時，設定値の書込みを1度に1回のみにしてください。"
00A3,"･G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。
･G(P).OGLOAD命令を実行する前にG(P).OGSTOR命令が実行されました。","･G(P).OGLOAD，G(P).OGSTOR命令は，同一機種に対して実行してください。
･G(P).OGLOAD，G(P).OGSTOR命令の順に実行してください。"
00C9,CH1のバッファメモリアドレス1(Un\G1)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
00CA,CH2のバッファメモリアドレス2(Un\G2)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
00CB,CH3のバッファメモリアドレス3(Un\G3)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
00CC,CH4のバッファメモリアドレス4(Un\G4)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
00CD,CH5のバッファメモリアドレス5(Un\G5)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
00CE,CH6のバッファメモリアドレス6(Un\G6)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
00CF,CH7のバッファメモリアドレス7(Un\G7)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
00D0,CH8のバッファメモリアドレス8(Un\G8)の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定してください。
012D,CH1のバッファメモリアドレス1(Un\G1)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
012E,CH2のバッファメモリアドレス2(Un\G2)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
012F,CH3のバッファメモリアドレス3(Un\G3)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0130,CH4のバッファメモリアドレス4(Un\G4)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0131,CH5のバッファメモリアドレス5(Un\G5)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0132,CH6のバッファメモリアドレス6(Un\G6)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0133,CH7のバッファメモリアドレス7(Un\G7)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0134,CH8のバッファメモリアドレス8(Un\G8)の平均回数設定値が4～500回以外の設定になっています。,平均回数設定値を4～500回以内の設定にし直してください。
0137,CH1のバッファメモリアドレス1(Un\G1)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0138,CH2のバッファメモリアドレス2(Un\G2)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0139,CH3のバッファメモリアドレス3(Un\G3)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013A,CH4のバッファメモリアドレス4(Un\G4)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013B,CH5のバッファメモリアドレス5(Un\G5)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013C,CH6のバッファメモリアドレス6(Un\G6)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013D,CH7のバッファメモリアドレス7(Un\G7)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
013E,CH8のバッファメモリアドレス8(Un\G8)の移動平均回数設定値が2～60回以外の設定になっています。,移動平均回数設定値を2～60回以内の設定にし直してください。
0141,CH1のバッファメモリアドレス1(Un\G1)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0142,CH2のバッファメモリアドレス2(Un\G2)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0143,CH3のバッファメモリアドレス3(Un\G3)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0144,CH4のバッファメモリアドレス4(Un\G4)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0145,CH5のバッファメモリアドレス5(Un\G5)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0146,CH6のバッファメモリアドレス6(Un\G6)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0147,CH7のバッファメモリアドレス7(Un\G7)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0148,CH8のバッファメモリアドレス8(Un\G8)の一次遅れフィルタの時定数設定値が320～5000ms以外の設定になっています。,時定数設定値を320～5000ms以内に設定してください。
0191,CH1で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0192,CH2で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0193,CH3で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0194,CH4で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0195,CH5で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0196,CH6で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0197,CH7で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
0198,CH8で，ゲイン値－オフセット値≦0.1[℃]となっています。,測温抵抗体入力端子の抵抗値を測定しチェックしてください。
019B,CH1で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G28，Un￥G29)を設定し直してください。
019C,CH2で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G30，Un￥G31)を設定し直してください。
019D,CH3で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G32，Un￥G33)を設定し直してください。
019E,CH4で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G34，Un￥G35)を設定し直してください。
019F,CH5で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G36，Un￥G37)を設定し直してください。
01A0,CH6で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G38，Un￥G39)を設定し直してください。
01A1,CH7で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G40，Un￥G41)を設定し直してください。
01A2,CH8で，ゲイン温度設定値－オフセット温度設定値≦0.1[℃]となっています。,エラーの発生したチャンネルのオフセット・ゲイン温度設定値(Un￥G42，Un￥G43)を設定し直してください。
01F4,オフセット・ゲイン設定中にオフセット・ゲインのチャンネルが同時に設定されているか，または共に0が設定されています。,バッファメモリアドレス26，27(Un\G26，Un\G27)の内容を設定し直してください。
01FF,"チャンネル変更要求(YB) をON したとき，以下のいずれかの状態になっています。
･CH1のオフセット温度設定値または，ゲイン温度設定値が測定レンジの範囲外に設定されています。
･断線しているチャンネルまたは，変換禁止のチャンネルを指定しています。","・測定範囲を確認し，オフセット・ゲイン温度設定値(Un￥G28，Un￥G29)を範囲内に設定し直してください。
･断線していないか配線を確認または，変換許可のチャンネルを指定してください。"
0200,"チャンネル変更要求(YB) をON したとき，以下のいずれかの状態になっています。
･CH2のオフセット温度設定値または，ゲイン温度設定値が測定レンジの範囲外に設定されています。
･断線しているチャンネルまたは，変換禁止のチャンネルを指定しています。","・測定範囲を確認し，オフセット・ゲイン温度設定値(Un￥G30，Un￥G31)を範囲内に設定し直してください。
･断線していないか配線を確認または，変換許可のチャンネルを指定してください。"
0201,"チャンネル変更要求(YB) をON したとき，以下のいずれかの状態になっています。
･CH3のオフセット温度設定値または，ゲイン温度設定値が測定レンジの範囲外に設定されています。
･断線しているチャンネルまたは，変換禁止のチャンネルを指定しています。","・測定範囲を確認し，オフセット・ゲイン温度設定値(Un￥G32，Un￥G33)を範囲内に設定し直してください。
･断線していないか配線を確認または，変換許可のチャンネルを指定してください。"
0202,"チャンネル変更要求(YB) をON したとき，以下のいずれかの状態になっています。
･CH4のオフセット温度設定値または，ゲイン温度設定値が測定レンジの範囲外に設定されています。
･断線しているチャンネルまたは，変換禁止のチャンネルを指定しています。","・測定範囲を確認し，オフセット・ゲイン温度設定値(Un￥G34，Un￥G35)を範囲内に設定し直してください。
･断線していないか配線を確認または，変換許可のチャンネルを指定してください。"
0203,"チャンネル変更要求(YB) をON したとき，以下のいずれかの状態になっています。
･CH5のオフセット温度設定値または，ゲイン温度設定値が測定レンジの範囲外に設定されています。
･断線しているチャンネルまたは，変換禁止のチャンネルを指定しています。","・測定範囲を確認し，オフセット・ゲイン温度設定値(Un￥G36，Un￥G37)を範囲内に設定し直してください。
･断線していないか配線を確認または，変換許可のチャンネルを指定してください。"
0204,"チャンネル変更要求(YB) をON したとき，以下のいずれかの状態になっています。
･CH6のオフセット温度設定値または，ゲイン温度設定値が測定レンジの範囲外に設定されています。
･断線しているチャンネルまたは，変換禁止のチャンネルを指定しています。","・測定範囲を確認し，オフセット・ゲイン温度設定値(Un￥G38，Un￥G39)を範囲内に設定し直してください。
･断線していないか配線を確認または，変換許可のチャンネルを指定してください。"
