<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,インテリジェント機能ユニットスイッチ設定で，CH1の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH1を正しいパラメータに設定し直してください。
0066,インテリジェント機能ユニットスイッチ設定で，CH2の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH2を正しいパラメータに設定し直してください。
0067,インテリジェント機能ユニットスイッチ設定で，CH3の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH3を正しいパラメータに設定し直してください。
0068,インテリジェント機能ユニットスイッチ設定で，CH4の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH4を正しいパラメータに設定し直してください。
0069,インテリジェント機能ユニットスイッチ設定で，CH5の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH5を正しいパラメータに設定し直してください。
006A,インテリジェント機能ユニットスイッチ設定で，CH6の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH6を正しいパラメータに設定し直してください。
006B,インテリジェント機能ユニットスイッチ設定で，CH7の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH7を正しいパラメータに設定し直してください。
006C,インテリジェント機能ユニットスイッチ設定で，CH8の熱電対タイプ設定が0～7以外の設定になっています。,GXDeveloperのパラメータ設定でCH8を正しいパラメータに設定し直してください。
006F,ユニットのハードウェアエラーです。,"電源のOFF／ONを再度行ってください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0070,インテリジェント機能ユニットスイッチ5に0以外が設定されています。,GX Developerのパラメータ設定でインテリジェント機能ユニットスイッチ5に0を設定してください。
0078,"オフセット・ゲイン設定の設定値が不正です。
エラーの発生したチャンネル番号は特定できません。","ユーザレンジ設定を使用している全てのチャンネルに対して，オフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0079,CH1のオフセット・ゲイン設定の設定値が不正です。,"CH1のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007A,CH2のオフセット・ゲイン設定の設定値が不正です。,"CH2のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007B,CH3のオフセット・ゲイン設定の設定値が不正です。,"CH3のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007C,CH4のオフセット・ゲイン設定の設定値が不正です。,"CH4のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007D,CH5のオフセット・ゲイン設定の設定値が不正です。,"CH5のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007E,CH6のオフセット・ゲイン設定の設定値が不正です。,"CH6のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
007F,CH7のオフセット・ゲイン設定の設定値が不正です。,"CH7のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
0080,CH8のオフセット・ゲイン設定の設定値が不正です。,"CH8のオフセット・ゲイン設定をやり直してください。
再度発生する場合は，ユニットの故障が考えられます。最寄の代理店または支社に不具合症状を説明，ご相談ください。"
00A1,オフセット・ゲイン設定モード時にG(P).OGSTOR命令を実行しています。,オフセット・ゲイン設定モード時はG(P).OGSTOR命令を実行しないでください。
00A2,"･G(P).OGSTOR命令が連続実行されています。
･オフセット・ゲイン設定時，設定値をフラッシュメモリに26回以上書込みをしています。","･1ユニットに対して1回のみG(P).OGSTOR命令を実行してください。
･オフセット・ゲイン設定時，設定値の書込みを1度に1回のみにしてください。"
00A3,"･G(P).OGLOAD命令を実行した機種と異なる機種に対してG(P).OGSTOR命令を実行しています。
･G(P).OGLOAD命令を実行する前にG(P).OGSTOR命令が実行されました。","･G(P).OGLOAD，G(P).OGSTOR命令は，同一機種に対して実行してください。
･G(P).OGLOAD，G(P).OGSTOR命令の順に実行してください。"
00C9,Un\G1に設定したCH1の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
00CA,Un\G2に設定したCH2の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
00CB,Un\G3に設定したCH3の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
00CC,Un\G4に設定したCH4の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
00CD,Un\G5に設定したCH5の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
00CE,Un\G6に設定したCH6の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
00CF,Un\G7に設定したCH7の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
00D0,Un\G8に設定したCH8の平均時間設定値が1280～5000ms以外の値になっています。,平均時間設定値を1280～5000ms以内に設定し直してください。
012D,Un\G1に設定したCH1の平均回数設定値が4～500回以外の値になっています。,平均回数設定値を4～500回以内に設定し直してください。
012E,Un\G2に設定したCH2の平均回数設定値が4～500回以外の値になっています。,平均回数設定値を4～500回以内に設定し直してください。
012F,Un\G3に設定したCH3の平均回数設定値が4～500回以外の値になっています。,平均回数設定値を4～500回以内に設定し直してください。
