<GROUP>,,
</GROUP>,,
<ERRCODE>,,
044C,"オーバフローエラー
・リニアカウンタ機能選択時に，CH1の現在値A（Un\G10～11）／現在値B（Un\G200～201）が下記の範囲を超えた場合：
－2147483648～2147483647",プリセット(Y02)を行う。
0834,"オーバフローエラー
・リニアカウンタ機能選択時に，CH2の現在値A（Un\G40～41）／現在値B（Un\G202～203）が下記の範囲を超えた場合：
－2147483648～2147483647",プリセット(Y07)を行う。
0C1C,"オーバフローエラー
・リニアカウンタ機能選択時に，CH3の現在値A（Un\G70～71）／現在値B（Un\G204～205）が下記の範囲を超えた場合：
－2147483648～2147483647",プリセット(Y0C)を行う。
1004,"オーバフローエラー
・リニアカウンタ機能選択時に，CH4の現在値A（Un\G100～101）／現在値B（Un\G206～207）が下記の範囲を超えた場合：
－2147483648～2147483647",プリセット(Y11)を行う。
13EC,"オーバフローエラー
・リニアカウンタ機能選択時に，CH5の現在値A（Un\G130～131）／現在値B（Un\G208～209）が下記の範囲を超えた場合：
－2147483648～2147483647",プリセット(Y16)を行う。
17D4,"オーバフローエラー
・リニアカウンタ機能選択時に，CH6の現在値A（Un\G160～161）／現在値B（Un\G210～211）が下記の範囲を超えた場合：
－2147483648～2147483647",プリセット(Y1B)を行う。
05DC,"リングカウンタ上下限値設定エラー
・リングカウンタ機能選択時に，CH1に（リングカウンタ下限値(Un\G0～1)＞リングカウンタ上限値（Un\G2～3））となるように設定して，カウントイネーブル指令(Y04)をONした。",（リングカウンタ下限値(Un\G0～1)≦リングカウンタ上限値（Un\G2～3））の条件を満たすように設定し，カウントイネーブル指令(Y04)をOFF→ONする。
09C4,"リングカウンタ上下限値設定エラー
・リングカウンタ機能選択時に，CH2に（リングカウンタ下限値(Un\G30～31)＞リングカウンタ上限値（Un\G32～33））となるように設定して，カウントイネーブル指令(Y09)をONした。",（リングカウンタ下限値(Un\G30～31)≦リングカウンタ上限値（Un\G32～33））の条件を満たすように設定し，カウントイネーブル指令(Y09)をOFF→ONする。
0DAC,"リングカウンタ上下限値設定エラー
・リングカウンタ機能選択時に，CH3に（リングカウンタ下限値(Un\G60～61)＞リングカウンタ上限値（Un\G62～63））となるように設定して，カウントイネーブル指令(Y0E)をONした。",（リングカウンタ下限値(Un\G60～61)≦リングカウンタ上限値（Un\G62～63））の条件を満たすように設定し，カウントイネーブル指令(Y0E)をOFF→ONする。
1194,"リングカウンタ上下限値設定エラー
・リングカウンタ機能選択時に，CH4に（リングカウンタ下限値(Un\G90～91)＞リングカウンタ上限値（Un\G92～93））となるように設定して，カウントイネーブル指令(Y13)をONした。",（リングカウンタ下限値(Un\G90～91)≦リングカウンタ上限値（Un\G92～93））の条件を満たすように設定し，カウントイネーブル指令(Y13)をOFF→ONする。
157C,"リングカウンタ上下限値設定エラー
・リングカウンタ機能選択時に，CH5に（リングカウンタ下限値(Un\G120～121)＞リングカウンタ上限値（Un\G122～123））となるように設定して，カウントイネーブル指令(Y18)をONした。",（リングカウンタ下限値(Un\G120～121)≦リングカウンタ上限値（Un\G122～123））の条件を満たすように設定し，カウントイネーブル指令(Y18)をOFF→ONする。
1964,"リングカウンタ上下限値設定エラー
・リングカウンタ機能選択時に，CH6に（リングカウンタ下限値(Un\G150～151)＞リングカウンタ上限値（Un\G152～153））となるように設定して，カウントイネーブル指令(Y1D)をONした。",（リングカウンタ下限値(Un\G150～151)≦リングカウンタ上限値（Un\G152～153））の条件を満たすように設定し，カウントイネーブル指令(Y1D)をOFF→ONする。
0640,"周期時間設定エラー
・CH1の周期時間設定（Un\G9）を0に設定して，周期パルスカウンタ開始指令（Y05）をONした。",周期時間設定（Un\G9）を範囲内(1～65535)に設定し，周期パルスカウンタ開始指令（Y05）をOFF→ONする。
0A28,"周期時間設定エラー
・CH2の周期時間設定（Un\G39）を0に設定して，周期パルスカウンタ開始指令（Y0A）をONした。",周期時間設定（Un\G39）を範囲内(1～65535)に設定し，周期パルスカウンタ開始指令（Y0A）をOFF→ONする。
0E10,"周期時間設定エラー
・CH3の周期時間設定（Un\G69）を0に設定して，周期パルスカウンタ開始指令（Y0F）をONした。",周期時間設定（Un\G69）を範囲内(1～65535)に設定し，周期パルスカウンタ開始指令（Y0F）をOFF→ONする。
11F8,"周期時間設定エラー
・CH4の周期時間設定（Un\G99）を0に設定して，周期パルスカウンタ開始指令（Y14）をONした。",周期時間設定（Un\G99）を範囲内(1～65535)に設定し，周期パルスカウンタ開始指令（Y14）をOFF→ONする。
15E0,"周期時間設定エラー
・CH5の周期時間設定（Un\G129）を0に設定して，周期パルスカウンタ開始指令（Y19）をONした。",周期時間設定（Un\G129）を範囲内(1～65535)に設定し，周期パルスカウンタ開始指令（Y19）をOFF→ONする。
19C8,"周期時間設定エラー
・CH6の周期時間設定（Un\G159）を0に設定して，周期パルスカウンタ開始指令（Y1E）をONした。",周期時間設定（Un\G159）を範囲内(1～65535)に設定し，周期パルスカウンタ開始指令（Y1E）をOFF→ONする。
0712,"スイッチ設定エラー
・MELSOFT製品でCH1に設定されたインテリジェント機能ユニットスイッチ設定の設定値に誤りがある。",MELSOFT製品で正しい設定値を設定し，PC書込をしたあとで，電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0AFA,"スイッチ設定エラー
・MELSOFT製品でCH2に設定されたインテリジェント機能ユニットスイッチ設定の設定値に誤りがある。",MELSOFT製品で正しい設定値を設定し，PC書込をしたあとで，電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0EE2,"スイッチ設定エラー
・MELSOFT製品でCH3に設定されたインテリジェント機能ユニットスイッチ設定の設定値に誤りがある。",MELSOFT製品で正しい設定値を設定し，PC書込をしたあとで，電源OFF→ONまたは，シーケンサCPUのリセットを行う。
12CA,"スイッチ設定エラー
・MELSOFT製品でCH4に設定されたインテリジェント機能ユニットスイッチ設定の設定値に誤りがある。",MELSOFT製品で正しい設定値を設定し，PC書込をしたあとで，電源OFF→ONまたは，シーケンサCPUのリセットを行う。
16B2,"スイッチ設定エラー
・MELSOFT製品でCH5に設定されたインテリジェント機能ユニットスイッチ設定の設定値に誤りがある。",MELSOFT製品で正しい設定値を設定し，PC書込をしたあとで，電源OFF→ONまたは，シーケンサCPUのリセットを行う。
1A9A,"スイッチ設定エラー
・MELSOFT製品でCH6に設定されたインテリジェント機能ユニットスイッチ設定の設定値に誤りがある。",MELSOFT製品で正しい設定値を設定し，PC書込をしたあとで，電源OFF→ONまたは，シーケンサCPUのリセットを行う。
071C,"シーケンサCPUエラー
・シーケンサCPUにエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0B04,"シーケンサCPUエラー
・シーケンサCPUにエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0EEC,"シーケンサCPUエラー
・シーケンサCPUにエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
12D4,"シーケンサCPUエラー
・シーケンサCPUにエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
16BC,"シーケンサCPUエラー
・シーケンサCPUにエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
1AA4,"シーケンサCPUエラー
・シーケンサCPUにエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0726,"シーケンサCPUウォッチドグタイマエラー
・シーケンサCPUのウォッチドグタイマエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0B0E,"シーケンサCPUウォッチドグタイマエラー
・シーケンサCPUのウォッチドグタイマエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0EF6,"シーケンサCPUウォッチドグタイマエラー
・シーケンサCPUのウォッチドグタイマエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
12DE,"シーケンサCPUウォッチドグタイマエラー
・シーケンサCPUのウォッチドグタイマエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
16C6,"シーケンサCPUウォッチドグタイマエラー
・シーケンサCPUのウォッチドグタイマエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
1AAE,"シーケンサCPUウォッチドグタイマエラー
・シーケンサCPUのウォッチドグタイマエラーが発生した。",電源OFF→ONまたは，シーケンサCPUのリセットを行う。
0730,"ユニットエラー
・ユニットに異常が発生した。","電源OFF→ONまたは，シーケンサCPUのリセットを行う。
再び発生するようであれば，ユニットを交換する。"
0B18,"ユニットエラー
・ユニットに異常が発生した。","電源OFF→ONまたは，シーケンサCPUのリセットを行う。
再び発生するようであれば，ユニットを交換する。"
0F00,"ユニットエラー
・ユニットに異常が発生した。","電源OFF→ONまたは，シーケンサCPUのリセットを行う。
再び発生するようであれば，ユニットを交換する。"
12E8,"ユニットエラー
・ユニットに異常が発生した。","電源OFF→ONまたは，シーケンサCPUのリセットを行う。
再び発生するようであれば，ユニットを交換する。"
16D0,"ユニットエラー
・ユニットに異常が発生した。","電源OFF→ONまたは，シーケンサCPUのリセットを行う。
再び発生するようであれば，ユニットを交換する。"
1AB8,"ユニットエラー
・ユニットに異常が発生した。","電源OFF→ONまたは，シーケンサCPUのリセットを行う。
再び発生するようであれば，ユニットを交換する。"
073A,"ハードウェアエラー
・ハードウェア異常が発生した。",ユニットを交換する。
0B22,"ハードウェアエラー
・ハードウェア異常が発生した。",ユニットを交換する。
0F0A,"ハードウェアエラー
・ハードウェア異常が発生した。",ユニットを交換する。
12F2,"ハードウェアエラー
・ハードウェア異常が発生した。",ユニットを交換する。
16DA,"ハードウェアエラー
・ハードウェア異常が発生した。",ユニットを交換する。
1AC2,"ハードウェアエラー
・ハードウェア異常が発生した。",ユニットを交換する。
</ERRCODE>,,
