<GROUP>,,
</GROUP>,,
<ERRCODE>,,
044C,"Overflow error
The present value (Un\G12 and 13) exceeded the following range.
- 2147483648 to 2147483647
(Only for the linear counter function)","Perform the preset."
0834,"Overflow error
The present value (Un\G212 and 213) exceeded the following range.
- 2147483648 to 2147483647
(Only for the linear counter function)","Perform the preset."
04B1,"Continuous comparison No.1 start point setting error
The continuous comparison No.1 start point setting (Un\G50) is set to other than 1 to 16.","Set a value from 1 to 16."
0899,"Continuous comparison No.1 start point setting error
The continuous comparison No.1 start point setting (Un\G250) is set to other than 1 to 16.","Set a value from 1 to 16."
04B2,"Continuous comparison No.2 start point setting error
The continuous comparison No.2 start point setting (Un\G100) is set to other than 1 to 16.","Set a value from 1 to 16."
089A,"Continuous comparison No.2 start point setting error
The continuous comparison No.2 start point setting (Un\G300) is set to other than 1 to 16.","Set a value from 1 to 16."
04BB,"Continuous comparison No.1 repeat point setting error
The continuous comparison No.1 repeat point setting (Un\G51) is set to other than 1 to 16.","Set a value from 1 to 16."
08A3,"Continuous comparison No.1 repeat point setting error
The continuous comparison No.1 repeat point setting (Un\G251) is set to other than 1 to 16.","Set a value from 1 to 16."
04BC,"Continuous comparison No.2 repeat point setting error
The continuous comparison No.2 repeat point setting (Un\G101) is set to other than 1 to 16.","Set a value from 1 to 16."
08A4,"Continuous comparison No.2 repeat point setting error
The continuous comparison No.2 repeat point setting (Un\G301) is set to other than 1 to 16.","Set a value from 1 to 16."
04C5,"Continuous comparison No.1 ON time setting error
The continuous comparison No.1 ON time setting (Un\G52) is set to other than 1 to 10.","Set a value from 1 to 10."
08AD,"Continuous comparison No.1 ON time setting error
The continuous comparison No.1 ON time setting (Un\G252) is set to other than 1 to 10.","Set a value from 1 to 10."
04C6,"Continuous comparison No.2 ON time setting error
The continuous comparison No.2 ON time setting (Un\G102) is set to other than 1 to 10.","Set a value from 1 to 10."
08AE,"Continuous comparison No.2 ON time setting error
The continuous comparison No.2 ON time setting (Un\G302) is set to other than 1 to 10.","Set a value from 1 to 10."
0514,"Count enable execution not possible error
The count enable command (Y06) is turned ON while one of the following is ON.
* Coincidence output No.1 test command (Y0B)
* Coincidence output No.2 test command (Y0C)","Turn OFF the coincidence output test command which is ON."
08FC,"Count enable execution not possible error
The count enable command (Y16) is turned ON while one of the following is ON.
* Coincidence output No.1 test command (Y1B)
* Coincidence output No.2 test command (Y1C)","Turn OFF the coincidence output test command which is ON."
051F,"Continuous comparison No.1 execution not possible error
The continuous comparison No.1 execution command (Y09) is turned ON while one of the following is ON.
* Coincidence output No.1 test command (Y0B)
* Coincidence output No.2 test command (Y0C)","Turn OFF the coincidence output test command, then turn ON the continuous comparison execution command."
0907,"Continuous comparison No.1 execution not possible error
The continuous comparison No.1 execution command (Y19) is turned ON while one of the following is ON.
* Coincidence output No.1 test command (Y1B)
* Coincidence output No.2 test command (Y1C)","Turn OFF the coincidence output test command, then turn ON the continuous comparison execution command."
0520,"Continuous comparison No.2 execution not possible error
The continuous comparison No.2 execution command (Y0A) is turned ON while one of the following is ON.
* Coincidence output No.1 test command (Y0B)
* Coincidence output No.2 test command (Y0C)","Turn OFF the coincidence output test command, then turn ON the continuous comparison execution command."
0908,"Continuous comparison No.2 execution not possible error
The continuous comparison No.2 execution command (Y1A) is turned ON while one of the following is ON.
* Coincidence output No.1 test command (Y1B)
* Coincidence output No.2 test command (Y1C)","Turn OFF the coincidence output test command, then turn ON the continuous comparison execution command."
