<GROUP>,,
</GROUP>,,
<ERRCODE>,,
044C,"オーバフローエラー
現在値（Un\G12～13）が下記の範囲を超えています。
－2147483648～2147483647
（リニアカウンタ機能のみ）",プリセットを行ってください。
0834,"オーバフローエラー
現在値（Un\G212～213）が下記の範囲を超えています。
－2147483648～2147483647
（リニアカウンタ機能のみ）",プリセットを行ってください。
04B1,"連続比較No.1 開始ポイント設定エラー
連続比較No.1 開始ポイント設定（Un\G50）に1～16以外を設定してしています。",設定値を1～16に変更してください。
0899,"連続比較No.1 開始ポイント設定エラー
連続比較No.1 開始ポイント設定（Un\G250）に1～16以外を設定してしています。",設定値を1～16に変更してください。
04B2,"連続比較No.2 開始ポイント設定エラー
連続比較No.2 開始ポイント設定（Un\G100）に1～16以外を設定してしています。",設定値を1～16に変更してください。
089A,"連続比較No.2 開始ポイント設定エラー
連続比較No.2 開始ポイント設定（Un\G300）に1～16以外を設定してしています。",設定値を1～16に変更してください。
04BB,"連続比較No.1 繰り返しポイント設定エラー
連続比較No.1 繰り返しポイント設定（Un\G51）に1～16以外を設定しています。",設定値を1～16に変更してください。
08A3,"連続比較No.1 繰り返しポイント設定エラー
連続比較No.1 繰り返しポイント設定（Un\G251）に1～16以外を設定しています。",設定値を1～16に変更してください。
04BC,"連続比較No.2 繰り返しポイント設定エラー
連続比較No.2 繰り返しポイント設定（Un\G101）に1～16以外を設定しています。",設定値を1～16に変更してください。
08A4,"連続比較No.2 繰り返しポイント設定エラー
連続比較No.2 繰り返しポイント設定（Un\G301）に1～16以外を設定しています。",設定値を1～16に変更してください。
04C5,"連続比較No.1 ON時間設定エラー
連続比較No.1 ON時間設定（Un\G52）に1～10以外を設定しています。",設定値を1～10に変更してください。
08AD,"連続比較No.1 ON時間設定エラー
連続比較No.1 ON時間設定（Un\G252）に1～10以外を設定しています。",設定値を1～10に変更してください。
04C6,"連続比較No.2 ON時間設定エラー
連続比較No.2 ON時間設定（Un\G102）に1～10以外を設定しています。",設定値を1～10に変更してください。
08AE,"連続比較No.2 ON時間設定エラー
連続比較No.2 ON時間設定（Un\G302）に1～10以外を設定しています。",設定値を1～10に変更してください。
0514,"カウントイネーブル実行不可エラー
次のいずれかの信号がON中に，カウントイネーブル指令（Y06）をONしています。
・一致出力No.1 テスト指令（Y0B）
・一致出力No.2 テスト指令（Y0C）",ONしているNo.の一致出力テスト指令をOFFしてください。
08FC,"カウントイネーブル実行不可エラー
次のいずれかの信号がON中に，カウントイネーブル指令（Y16）をONしています。
・一致出力No.1 テスト指令（Y1B）
・一致出力No.2 テスト指令（Y1C）",ONしているNo.の一致出力テスト指令をOFFしてください。
051F,"連続比較No.1 実行不可エラー
次のいずれかの信号がON 中に，連続比較No.1 実行指令（Y09）をON しています。
・一致出力No.1 テスト指令（Y0B）
・一致出力No.2 テスト指令（Y0C）",一致出力テスト指令をOFFしてから，連続比較実行指令ONしてください。
0907,"連続比較No.1 実行不可エラー
次のいずれかの信号がON 中に，連続比較No.1 実行指令（Y19）をON しています。
・一致出力No.1 テスト指令（Y1B）
・一致出力No.2 テスト指令（Y1C）",一致出力テスト指令をOFFしてから，連続比較実行指令ONしてください。
0520,"連続比較No.2 実行不可エラー
次のいずれかの信号がON 中に，連続比較No.2 実行指令（Y0A）をON しています。
・一致出力No.1 テスト指令（Y0B）
・一致出力No.2 テスト指令（Y0C）",一致出力テスト指令をOFFしてから，連続比較実行指令ONしてください。
0908,"連続比較No.2 実行不可エラー
次のいずれかの信号がON 中に，連続比較No.2 実行指令（Y1A）をON しています。
・一致出力No.1 テスト指令（Y1B）
・一致出力No.2 テスト指令（Y1C）",一致出力テスト指令をOFFしてから，連続比較実行指令ONしてください。
05DC,"リングカウンタ上下限値設定エラー
下記の状態でカウントイネーブル指令（Y06）をONしています。
（リングカウンタ下限値(Un\G0～1)）＞（リングカウンタ上限値(Un\G2～3)）
（リングカウンタ機能のみ）","設定値を下記のように設定してください。
（下限値≦上限値）"
09C4,"リングカウンタ上下限値設定エラー
下記の状態でカウントイネーブル指令（Y16）をONしています。
（リングカウンタ下限値(Un\G200～201)）＞（リングカウンタ上限値(Un\G202～203)）
（リングカウンタ機能のみ）","設定値を下記のように設定してください。
（下限値≦上限値）"
0712,"スイッチ設定エラー
MELSOFT製品で設定されたインテリジェント機能ユニットスイッチ設定の設定値に誤りがあります。",MELSOFT製品で正しい設定値を設定し，[PC書込]をしたあとで，電源OFF→ONまたは，シーケンサCPUのリセットを行ってください。
