<GROUP>,,
</GROUP>,,
<ERRCODE>,,
044C,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
0834,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
0C1C,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
1004,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
044D,"QD70 not prepared
Start was made when the QD70 was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Y0) again, make sure that the module READY signal (X0) is ON, and then make a start. (The module is faulty if the module READY signal (X0) does not turn ON.)"
0835,"QD70 not prepared
Start was made when the QD70 was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Y0) again, make sure that the module READY signal (X0) is ON, and then make a start. (The module is faulty if the module READY signal (X0) does not turn ON.)"
0C1D,"QD70 not prepared
Start was made when the QD70 was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Y0) again, make sure that the module READY signal (X0) is ON, and then make a start. (The module is faulty if the module READY signal (X0) does not turn ON.)"
1005,"QD70 not prepared
Start was made when the QD70 was not ready.","After switching power from OFF to ON/resetting the PLC CPU, turn ON the PLC READY signal (Y0) again, make sure that the module READY signal (X0) is ON, and then make a start. (The module is faulty if the module READY signal (X0) does not turn ON.)"
044E,"Stop signal ON at start
A start request was given when the axis stop signal (Y10) is ON.","Check whether the axis stop signal (Y10) is ON or OFF and turn OFF the axis stop signal that is ON."
0836,"Stop signal ON at start
A start request was given when the axis stop signal (Y11) is ON.","Check whether the axis stop signal (Y11) is ON or OFF and turn OFF the axis stop signal that is ON."
0C1E,"Stop signal ON at start
A start request was given when the axis stop signal (Y12) is ON.","Check whether the axis stop signal (Y12) is ON or OFF and turn OFF the axis stop signal that is ON."
1006,"Stop signal ON at start
A start request was given when the axis stop signal (Y13) is ON.","Check whether the axis stop signal (Y13) is ON or OFF and turn OFF the axis stop signal that is ON."
044F,"Software stroke limit +
* Positioning control was carried out in a position in excess of 'Software stroke limit upper limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit upper limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
0837,"Software stroke limit +
* Positioning control was carried out in a position in excess of 'Software stroke limit upper limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit upper limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
0C1F,"Software stroke limit +
* Positioning control was carried out in a position in excess of 'Software stroke limit upper limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit upper limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
1007,"Software stroke limit +
* Positioning control was carried out in a position in excess of 'Software stroke limit upper limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit upper limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
