<GROUP>,,,
4000-4FFF,Errors detected by the programmable controller CPU.,"Take corrective actions, referring to the troubleshooting section of the CPU User's Manual (Hardware Design, Maintenance and Inspection).",********.csv
7000-7FFF,"Errors detected by serial communication module, etc.","Take corrective actions, referring to the troubleshooting section of the Serial Communication Module User's Manual.",ERR_QJ71C24.csv
C000-CFFF,Errors detected by the Ethernet module.,"Take corrective actions, referring to the troubleshooting section of the Ethernet Interface Module User's Manual.",ERR_QJ71E71.csv
D000-DFFF,Errors detected by the CC-Link IE field network module.,"Take corrective actions, referring to the troubleshooting section of the CC-Link IE Field Network Module User's Manual.",ERR_QJ71GF11-T2.csv
E000-EFFF,Errors detected by the CC-Link IE controller network module.,"Take corrective actions, referring to the troubleshooting section of the CC-Link IE Controller Network Reference Manual.",ERR_QJ71GP21.csv
F000-FFFF,"Errors detected by the MELSECENT/H, MELSECNET10 network system","Take corrective actions, referring to the troubleshooting section of the MELSECNET/H, MELSECNET/10 Network System Reference Manual.",ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
B10C,Message transmission function unsupported. The message transmission function was executed for the remote device station that does not support the function.,"Check the station No. of the target station. 
Or, check if the target station supports the message transmission function."
B110,Transient data can not be received. A line error has occurred.,Check the line.
B111,Transient data receiving order error. A line error has occurred.,Check the line.
B112,Transient data length error. A line error has occurred.,Check the line.
B113,Transient data ID error. A line error has occurred or an instantaneous power failure has occurred at the send station.,"Check the line, or check the supply power and power supply module of the send station."
B115,Link error. A line error has occurred.,Check the line.
B116,Packet error. A line error has occurred.,Check the line.,
B120,"Forced termination of the remote device station initialize procedure registration function. In the remote device station initialize procedure registration function, the specification of the remote device station initialize procedure registration was turned off before all procedures were completed.",Do not turn the specification of the remote device station initialize procedure registration off until all procedures are completed.
B124,Error at a station on which the remote device station initialize procedure registration function was executed. Error at a station on which the remote device station initialize procedure registration function was executed.,Turn on the remote device station initialization procedure registration instruction on the master station (station No.0).
B125,"Parameter not set error of the remote device station initialize procedure registration function. 
The specification of the remote device station initialize procedure registration function was turned on without setting the remote device station initialize procedure registration.
Bits corresponding to other than the head station number were turned ON in the Specification of remote device station to be initialized (SW0014 to SW0017) to instruct remote device station initialization procedure registration.","Turn on the specification of the remote device station initialize procedure registration function after setting the remote device station initialize procedure registration.
Turn ON only the bit corresponding to the head station number in the Specification of remote device station to be initialized (SW0014 to SW0017)."
B201,Corresponding station error during sending. A data link error occurred at the corresponding station during transient transmission.,"Check the communication status of other stations, whether or not a temporary error invalid station is specified, or if the corresponding station is stopped."
B205,Transient target station error. A transient request was issued to other than the intelligent device station.,Check the target station.
B301,Processing request error during link stop. Line test request was issued while the link was stopped.,Perform a line test while the link is being established
B302,Specified station number setting error. The specified station number exceeded the highest communication station number during temporary error invalid request/temporary error invalid cancel request.,Specify a station number that is no greater than the highest communication station number.
B303,Specified station number not set error. The station number was not specified during temporary error invalid request/temporary error invalid cancel request.,"Set a specified station number (SW0003, SW0004 to SW0007)."
B304,"Line test error station detected. An error was detected in a remote station, intelligent device station or standby master station when a line test was performed.","Check that the remote station, intelligent device station or standby master station is operational and that the cable is not disconnected."
B306,Specified station number setting error. A station number other than the head station number was specified during temporary error invalid request/temporary error invalid cancel request.,Specify a head station when temporary error invalid request/temporary error invalid cancel request is requested.
B307,"All stations data link error. All stations were in data link error status when one of the following requests was made: 
1.SB0000 (data link restart) 
2.SB0002 (data link stop)",Request again after the data link becomes normal.
B308,"Station number setting error (installation status). The station number of the slave station is outside of the range between ""1 and 64"".","Set the station number of the slave station within the range between ""1 and 64""."
B309,"Station number overlap error. The station number of the connected module was duplicated (including number of occupied stations). 
However, this excludes the duplicate head station number.",Check the module station number.
B30A,"Loading/parameter compatibility error. 
The station types of the module are different from parameter settings.
The mode is inconsistent between the master station and a local or standby master station.
*The mode of the master station is different from that of the standby master station.","Set the correct parameters.
After correcting the parameters of the master station, or the local or standby master station, reset the programmable controller CPU."
B30B,Loading/parameter compatibility error. The contents of the installation status and network parameters do not match.,Set the contents of the installation status and network parameters to match.
B30C,Standby master station specification error. Master station switching was instructed to a station other than the standby master station.,Specify the station number that corresponds to the standby master station.
B30D,"Initial status. Temporary error invalid station specification, line test request, or data link stop/restart request, etc. was issued before starting the link.",Issue the request after the data link is started.
B30E,"Unsupported error.In the function started by SB/SW, an attempt was made to execute the function, which is supported by only the master station, at the local station.",Execute the corresponding function from the master station.
B30F,Temporary error invalid station specification error. A temporary error invalid station was specified while the data link is being performed upon automatic CC-Link startup.,Specify a temporary error invalid station while the data link is performed with parameters set using GX Works2 or the dedicated instruction.
B310,Data link restart error. Data link restart (SB0000) was executed for the station that was performing a data link.,Execute Data link restart (SB0000) for the station that has stopped a data link with Data link stop (SB0002).
B311,Data link stop error. Data link stop (SB0002) was executed for the station that had stopped a data link.,Execute Data link stop (SB0002) for the station that is performing a data link.
B312,Standby master station absence error. Forced master to standby master switching (SB000C) was executed in the system where no standby master station exists or in the system where the standby master station had become faulty.,"After starting the data link of the standby master station, execute Forced master to standby master switching (SB000C)."
B313,All station fault error. Forced master to standby master switching (SB000C) was executed in the system where all stations had become faulty.,"After starting the data link of the standby master station, execute Forced master to standby master switching (SB000C)."
B314,Switching target error. Forced master to standby master switching (SB000C) was executed for any station other than the master station.,Execute Forced master to standby master switching (SB000C) for the master station.
B315,Forced master station switching error. Forced master switching (SB000C) was instructed again while the master station was being switched to the standby master station.,Check ON/OFF of Forced master switching (SB000C).
B317,"Network startup setting mode error. The G(P).RLPASET instruction was executed for a module whose parameters have been set by GX Works2.
The parameter setting was changed without turning the power supply to the programmable controller system off and back on, or resetting the programmable controller CPU.","Use the G(P).RLPASET instruction according to the procedure below.
1. Clear the settings of the network parameters and refresh parameters of the target module using GX Works2. 
2. Set the type of I/O assignment setting in GX Works2 to ""intelli."" 
3. Set switch 4 of the intelligent function module switch setting in GX Works2 to 0100 H. 
4. Turn the power supply to the programmable controller system off and back on, or reset the programmable controller CPU."
B31A,Data linking. Data link has already been started when the master station duplication error cancelling is instructed.,Do not instruct the master station duplication error cancelling during data linking.
B31B,Transmission speed test execution error. The transmission speed test was executed during data link.,Stop Data link and then execute the transmission speed test.
B31C,System error.,Please consult your local Mitsubishi representative.
B31D,System error.,Please consult your local Mitsubishi representative.
B31E,Status logging start error.Logging started while the log was being deleted.,Execute logging after deleting the logs.
B31F,Status logging clear error.Log was deleted while logging.,Stop logging and then delete the logs.
B320,Status logging mode invalid.The logging or log deletion was executed In the remote I/O net mode.,"Set to the remote net mode, and then start the logging or log deletion."
B321,System error.,Please consult your local Mitsubishi representative.
B322,"Status logging flash ROM deletion invalid.During data link, the logs were deleted with ""RAM + FlashROM"" checked.",Stop the data link and then delete the logs.
B323,"Status logging flash ROM deletion incomplete.Deletion of the logs was attempted with ""RAM + FlashROM"" checked, but logging started even though the deletion was incomplete.","Delete the logs again with ""RAM + FlashROM"" checked."
B324,Status logging flash ROM storage error.The logs were attempted to be stored in the flash ROM even though the logs could not be stored in flash ROM.,"After deleting the logs with ""RAM + FlashROM"" checked, start logging.
Or, start the logging with ""RAM"" checked."
B325,"Status logging flash ROM error.The total number of storing the logs in the flash ROM exceeded 100,000 times.","Start logging with ""RAM"" checked.
For ""RAM + FlashROM"", replace the module."
B384,"Station number setting error (parameter). The station number (including the number of occupied stations) of the station information parameters was set to ""other than 1 H to 40H"".","Set within the range of ""1H to 40H""."
B385,Total number of stations error (parameter). The total number of occupied stations set with the station information parameter exceeded 64.,Set a parameter value of 64 or less.
B386,"Number of occupied stations setting error (parameter). The number of all occupied stations in the station information parameter was set to ""0"".","Set the occupied station number to a value between ""1 and 4""."
B387,Delay time setting error (parameter). The delay time setting in the master station network parameters is out of the setting range.,Set a value within the setting range.
B388,"Station type setting error (parameter). When the remote net ver.1 mode is used, a value other than 0 to 3 was set to the station type in the station information parameter.","When the remote net ver.1 mode is used, set a value within the range from Åg0 to 3Åh."
B38B,"Remote device station setting error (parameter). The number of remote device stations was set to ""43 stations or more"" with the station information parameter.","Set the remote device station to ""42 stations or less"" with the station information parameter."
B38C,"Intelligent device station setting error (parameter). The number of intelligent device stations (including local stations) was set to ""27 stations or more"" with the station information parameter.","Set the intelligent device station to ""26 stations or less"" with the station information parameter."
B38D,"Invalid station specified error (parameter). ""Other than module head station number"" or ""station number not specified in the parameter"" was set with the invalid station specification parameter. <Example of other than head station number> A bit other than that for station number 5 was ON for a module occupies 4 stations (station numbers 5 to 8).","Set the ""Head station number of the module"". 
Do not specify any of the stations not specified with the parameter."
B38E,Communication buffer assignment error (parameter). The total size of the communication buffers in the station information parameter exceeded 4 K words.,Set the total size of the communication buffers to 4 K words or less.
B38F,Automatic update buffer assignment error (parameter). The total size of the automatic update buffer in the station information parameter exceeded 4 K words.,Set the total size of the automatic update buffer to 4 K words or less.
B390,"Standby master station specification error (parameter). The standby master station parameter was set to a value other than ""1 to 64"".","Specify the standby master station to a value within the range from ""1 to 64""."
B391,"Retry count setting error (parameter). The retry count parameter was set to a value other than ""1 to 7"".","Set a value within the range from ""1 to 7""."
B392,"Operation when CPU is down specified error (parameter). The operation when the CPU is down specification parameter was set to a value other than ""0 or 1"".","Set ""0 or 1""."
B393,"Scan mode specification error (parameter). The scan mode parameter was set to a value other than ""0 or 1"".","Set ""0 or 1""."
B394,"Number of automatic return stations setting error (parameter). The number of automatic return stations parameter was set to a value other than ""1 to 10"".","Set a value within the range from ""1 to 10""."
B396,Station number overlap error (parameter). A duplicate station number was specified with the station information parameter.,Set so that station numbers are not duplicated.
B397,"Station information setting error (parameter). The station information parameter setting does not meet the following condition:
(16 x A) + (54 x B) + (88 x C) <= 2304 
A: Number of remote I/O stations 
B: Number of remote device stations 
C: Number of intelligent device stations (including local stations)",Set the parameter so that it meets the condition shown on left.
B398,"Number of occupied stations setting error (parameter). The number of occupied stations in the station information parameter was set to a value other than ""1 to 4"".","Set a value within the range from ""1 to 4""."
B399,"Number of connected modules setting error (parameter). The number of connected modules parameter was set to a value other than ""1 to 64"".","Set a value within the range from ""1 to 64""."
B39A,"Standby master station specification error (loading status). The station number set with the station number setting switches of the standby master station differs from that set in the ""standby master station No."" network parameter of the master station, or the station set in the ""standby master station No."" network parameter of the master station is a local station.","Change the parameter setting of the master station, or change the station number setting of the local/standby master station, and then reset the programmable controller CPU of the local/standby master station."
B39B,Reserved station setting error. All stations were set as reserved stations.,Check the reserved station settings.
