<GROUP>,,,
4000-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
C000-CFFF,Ethernetユニット，FL-netユニットなどのエラー,Ethernetユニット，FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
D000-DFFF,CC-Link IE フィールドネットワークユニットのエラー,CC-Link IE フィールドネットワークユニットのマニュアルを参照ください。,ERR_QJ71GF11-T2.csv
E000-EFFF,CC-Link IEコントローラネットワークユニットのエラー,CC-Link IE コントローラネットワークのマニュアルを参照ください。,ERR_QJ71GP21.csv
F000-FFFF,MELSECNET/Hユニット，MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット，MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
B10C,システムエラー。,最寄りの代理店または，支社へ説明・相談する。,
B110,トランジェントデータ受信不可状態。回線異常が発生している。,回線を見直す。,
B111,トランジェントデータ受信順番エラー。回線異常が発生している。,回線を見直す。,
B112,トランジェントデータ長エラー。回線異常が発生している。,回線を見直す。,
B113,トランジェントデータ識別エラー。回線異常が発生している，または，送信局で瞬停が発生している。,回線を見直す，または，送信局の供給電源，電源ユニットを見直す。,
B115,リンク異常。回線異常が発生している。,回線を見直す。,
B116,パケット異常。回線異常が発生している。,回線を見直す。,
B120,リモートデバイス局イニシャライズ手順登録機能強制終了。リモートデバイス局イニシャライズ手順登録機能において，全手順の完了前にリモートデバイス局イニシャライズ手順登録指示をOFFした。,リモートデバイス局イニシャライズ手順登録指示を全手順の完了後にOFFする。,
B124,リモートデバイス局イニシャライズ手順登録機能実行対象局エラー。マスタ局以外でリモートデバイス局イニシャライズ手順登録指示をONした。,リモートデバイス局イニシャライズ手順登録指示は，マスタ局（局番0）でONする。,
B125,"リモートデバイス局イニシャライズ手順登録機能パラメータ未設定エラー。
・リモートデバイス局イニシャライズ手順登録の設定を行わずに，リモートデバイス局イニシャライズ手順登録指示をONした。
・リモートデバイス局イニシャライズ処理局指定エリアに先頭局番号以外のビットをONして，リモートデバイス局イニシャライズ手順登録指示をした。","・リモートデバイス局イニシャライズ手順登録の設定を行ってから，リモートデバイス局イニシャライズ手順登録指示をONする。
・リモートデバイス局イニシャライズ処理局指定エリアに先頭局番のみをONする。",
B201,送信時該当局異常。トランジェント伝送時，該当局でデータリンク異常が発生している。,他局交信状態，一時エラー無効局指定の有無，または，該当局が停止中か確認する。,
B205,トランジェント対象局エラー。インテリジェントデバイス局以外にトランジェント要求を行った。,対象局を見直す。,
B301,リンク停止中処理要求エラー。リンク停止中に回線テスト要求を発行した。,リンク起動中に回線テストを実施する。,
B302,指定局番設定エラー。一時エラー無効要求／一時エラー無効解除要求時の指定局番が最大交信局番を超えている。,最大交信局番以下の局を指定する。,
B303,指定局番未設定エラー。一時エラー無効要求／一時エラー無効解除要求時の指定局番が設定されていない。,指定局番を設定する。(SW0003，SW0004～SW0007)
B304,回線テスト異常局検出。回線テスト実施時に，リモート局，インテリジェントデバイス局，待機マスタ局で異常を検出した。,リモート局，インテリジェントデバイス局，待機マスタ局が立上がっているか，ケーブルが断線していないか確認する。,
B306,指定局番設定エラー。一時エラー無効要求／一時エラー無効解除要求で先頭局以外が指定された。,一時エラー無効要求／一時エラー無効解除要求で先頭局を指定する。,
B307,"全局データリンク異常。下記の要求時に全局データリンク異常状態になっている。
・SB0000（データリンク再起動）
・SB0002（データリンク停止）",データリンクが正常になってから再度要求を行う。,
B308,局番設定エラー（実装状態）。子局の局番が“1～64”以外である。,子局の局番を“1～64”の範囲で設定する。,
B309,局番重複エラー。接続されているユニットの局番が重複（占有局数を含む）して設定されている。ただし先頭局番の重複を除く。,ユニットの局番を確認する。,
B30A,"実装／パラメータ整合エラー。
ユニットとパラメータの局タイプが異なる。
マスタ局とローカル局/待機マスタ局でモード不正が発生している。*マスタ局と待機マスタ局で，モードが異なっている","パラメータを正しく設定する。
マスタ局のパラメータ，またはローカル局/待機マスタ局のパラメータを再設定したあと，シーケンサCPUをリセットする。",
B30B,実装／パラメータ整合エラー。実装状態とネットワークパラメータの内容が異なる。,実装状態とネットワークパラメータの内容を合わせる。,
B30C,待機マスタ局指定エラー。待機マスタ局以外の局にマスタ局切換えを指示した。,待機マスタ局の局番を指定する。,
B30D,イニシャル状態。リンク起動する前に一時エラー無効局指定，回線テスト要求，データリンク停止／再起動要求などが発行された。,データリンクが起動してから要求を発行する。,
B30E,未サポートエラー。SB/SWで起動する機能において，マスタ局でしかサポートしていない機能をローカル局で実行しようとした。,マスタ局で実行する。
B30F,一時エラー無効局指定エラー。自動CC-Link起動でデータリンク中に一時エラー無効局を指定された。,GX Works2によるパラメータ設定および専用命令によるパラメータ設定時のデータリンク中に一時エラー無効局を指定する。
B310,データリンク再起動エラー。データリンクしている局に対してデータリンク再起動(SB0000)を実行した。,データリンク停止(SB0002)にてデータリンクを停止している局に対してデータリンク再起動(SB0000)を実行する。
B311,データリンク停止エラー。データリンクが停止している局に対してデータリンク停止(SB0002)を実行した。,データリンクしている局に対してデータリンク停止(SB0002)を実行する。
B312,待機マスタ局不在エラー。待機マスタ局が存在しないシステム，または待機マスタ局がダウンしているシステムにおいて，マスタ→待機マスタ強制切換え(SB000C)を実行した。,待機マスタ局をデータリンクさせてから，マスタ→待機マスタ強制切換え(SB000C)を実行する。
