<GROUP>,,,
4000-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,Ethernetユニット、FL-netユニットなどのエラー,Ethernetユニット、FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
E000-EFFF,CC IE Controlユニットのエラー,CC IE Controlユニットのマニュアルを参照ください。,ERR_QJ71GP21.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7101,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
7102,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
7103,"PCアクセスエラー
・QシリーズCMO装着CPUとの交信ができない。","・監視時間 (タイマ1) を長くする｡
・交信プロトコル番号“F”でCPU交信ができるかを確認する。",
7104,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
7105,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
7106,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
7107,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
7108,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
7109,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。"
710A,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。"
710B,"システムエラー
・QシリーズCMOのOSが，何らかの異常を検出した。","・以下の手順で対処する。
(1) QシリーズCMO，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QシリーズCMOの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QシリーズCMO，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。"
