<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"The node No. (MAC ID) value is out of range.
The mode switch value is out of range.","Set the node No. within the range of 0 to 63.
Set the mode switch to any other than D to F."
39FF,The node No. (MAC ID) is duplicated on the network.,Set a unique node No.
E0FF,Power is not supplied to the network.,Supply power to the network (DC24V).
E1FF,Other modules cannot be identified on the network.,Connect other modules to the network.
F0FF,The node No. switches or mode switch has been changed during operation.,Restore the setting of the node No. switches or mode switch.
02FE,Zero (0) is set for both the input and output points of a slave node.,Set the input and output points according to the slave node specifications.
03FE,The low byte of the slave node No. in the buffer memory is out of range.,Set it within the range of 0 to 63.
04FE,The high byte of the slave node No. in the buffer memory is out of range.,"Set it within the range of 01H to 04H, or to 80H."
05FE,The connection type in the buffer memory is out of range.,"Set 0001H, 0002H, 0004H, or 0008H."
06FE,The same node No. has already been set for a slave node in the buffer memory.,Set unique node numbers for all nodes.
07FE,No slave node has been set.,Set at least one slave node.
08FE,The total input data length of all slave nodes is too long.,Reduce it to 512 bytes or less.
09FE,The total output data length of all slave nodes is too long.,Reduce it to 512 bytes or less.
0AFE,The parameter value for the watchdog timeout action is invalid.,"Set 0000H, 0001H, 0002H, or 0003H."
0BFE,The expected packet rate value in the buffer memory is smaller than the production inhibit time value.,Change the setting so that the expected packet rate value is greater than or equal to the production inhibit time value.
0CFE,"Flash ROM checksum error
(Parameters for Master Function area)","Save the parameters again.
Do not turn OFF the power or reset while saving the parameters."
0DFE,"Flash ROM checksum error
(Parameters for Slave Function area)","Save the parameters again.
Do not turn OFF the power or reset while saving the parameters."
0EFE,"Flash ROM checksum error
(Auto Communication Start Setting area)","Save the parameters again.
Do not turn OFF the power or reset while saving the parameters."
0FFE,Flash ROM all clear error,"Clear all parameters again.
Do not turn OFF the power or reset while clearing the parameters."
10FE,The number of input points per slave node exceeds 256 bytes.,Correct the number of input points per slave node to 256 bytes or less.
11FE,The number of output points per slave node exceeds 256 bytes.,Correct the number of output points per slave node to 256 bytes or less.
15FE,The production inhibit time value was set to 0 ms (set value 1) in cyclic.,Set the production inhibit time value to a value other than 0 ms.
16FE,All slave nodes are set as reserved nodes by parameters.,Set the parameters according to the slave nodes connected to the network.
20FE,"Although the data separation-inhibiting dedicated instruction setting for the master function is set to be enabled, DNTMRD was not executed during execution of three sequence scans.","Correct the sequence program so that DNTMRD may be executed in every scan.
When not using the dedicated instruction, set the data separation-inhibiting dedicated instruction setting for the master function to be disabled, and turn on I/O communication request (Y11)."
21FE,"Although the data separation-inhibiting dedicated instruction setting for the master function is set to be enabled, DNTMWR was not executed during execution of three sequence scans.","Correct the sequence program so that DNTMWR may be executed in every scan.
When not using the dedicated instruction, set the data separation-inhibiting dedicated instruction setting for the master function to be disabled, and turn on I/O communication request (Y11)."
22FE,"Although the data separation-inhibiting dedicated instruction setting for the slave function is set to be enabled, DNTSRD was not executed during execution of three sequence scans.","Correct the sequence program so that DNTSRD may be executed in every scan.
When not using the dedicated instruction, set the data separation-inhibiting dedicated instruction setting for the slave function to be disabled, and turn on I/O communication request (Y11)."
23FE,"Although the data separation-inhibiting dedicated instruction setting for the slave function is set to be enabled, DNTSWR was not executed during execution of three sequence scans.","Correct the sequence program so that DNTSWR may be executed in every scan.
When not using the dedicated instruction, set the data separation-inhibiting dedicated instruction setting for the slave function to be disabled, and turn on I/O communication request (Y11)."
24FE,"When using the master function, the data separation-inhibiting dedicated instruction setting for the slave function was set to be enabled, and I/O communications were started.","Set the data separation-inhibiting dedicated instruction setting for the slave function to be disabled, and turn on I/O communication request (Y11)."
25FE,"When using the slave function, the data separation-inhibiting dedicated instruction setting for the master function was set to be enabled, and I/O communications were started.","Set the data separation-inhibiting dedicated instruction setting for the master function to be disabled, and turn on I/O communication request (Y11)."
80FE,The number of slave function receive bytes is out of range.,Set it within the range of 0 to 128 bytes.
81FE,The number of slave function transmit bytes is out of range.,Set it within the range of 0 to 128 bytes.
82FE,"Both of the slave function transmit and receive bytes are set 
to 0.",Set either of the transmit or receive bytes to any other than 0.
A0FE,"When using both the master and slave functions, the number of I/O points is set to 0 for both of them.","Set I/O points of slave nodes in Parameters for Master Function.
Set transmit/receive bytes in Parameters for Slave Function.
(Either of master or slave function values must be set.)"
0100,"(The node No.00)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0101,"(The node No.01)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0102,"(The node No.02)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0103,"(The node No.03)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0104,"(The node No.04)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0105,"(The node No.05)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0106,"(The node No.06)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0107,"(The node No.07)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0108,"(The node No.08)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0109,"(The node No.09)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
010A,"(The node No.10)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
010B,"(The node No.11)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
010C,"(The node No.12)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
010D,"(The node No.13)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
010E,"(The node No.14)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
010F,"(The node No.15)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0110,"(The node No.16)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0111,"(The node No.17)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0112,"(The node No.18)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0113,"(The node No.19)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0114,"(The node No.20)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0115,"(The node No.21)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
