<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
39FF,ネットワーク上に同じ局番(MAC ID)を持つ局が2つ以上存在する。,・局番が重ならないよう設定する。
E0FF,ネットワーク電源が供給されていない。,・ネットワーク電源(DC24V)を供給する。
E1FF,ネットワーク上に他のユニットが見つからない。,・ネットワーク上に他のユニットを接続する。
F0FF,"動作中に局番設定スイッチまたは，
モードスイッチの設定を変更した。",・局番設定スイッチ，モードスイッチの設定を元に戻す。
02FE,"パラメータで設定したスレーブ局の
入力点数，出力点数が共に0である。","・スレーブ局の仕様に合わせて，
  入力点数，出力点数を設定する。"
03FE,バッファメモリのスレーブ局番の下位バイトが範囲外。,・0～63に設定する。
04FE,バッファメモリのスレーブ局番の上位バイトが範囲外。,・01H～04H あるいは80Hに設定する。
05FE,バッファメモリのコネクションタイプが範囲外。,・0001H，0002H，0004H，0008Hの内の1つを設定する。
06FE,"バッファメモリに自局番と同じ局番をもつスレーブ局が
設定されている。",・全局で局番は重ならないよう設定する。
07FE,スレーブ局が1つも設定されていない。,・少なくとも1つはスレーブ局を設定する。
08FE,全スレーブ局の入力データ長の合計が大きすぎる。,・全スレーブ局で512バイト以下にする。
09FE,全スレーブ局の出力データ長の合計が大きすぎる。,・全スレーブ局で512バイト以下にする。
0AFE,パラメータのウォッチドグ・タイムアウト時動作の値が不正。,・0000H，0001H，0002H，0003Hの内の1つを設定する。
0BFE,"バッファメモリのイクスペクティッド・パケット・レートの値が，
プロダクション禁止時間の値より小さい。","・イクスペクティッド・パケット・レートの値≧プロダクション禁止時間の
  値に設定する。"
0CFE,"フラッシュROMチェックサムエラー
（マスタ機能用パラメータエリア）","・パラメータを再度保存する。
・パラメータ保存中に電源OFFあるいはリセットしないようにする。"
0DFE,"フラッシュROMチェックサムエラー
（スレーブ機能用パラメータエリア）","・パラメータを再度保存する。
・パラメータ保存中に電源OFFあるいはリセットしないようにする。"
0EFE,"フラッシュROMチェックサムエラー
（自動交信開始設定エリア）","・パラメータを再度保存する。
・パラメータ保存中に電源OFFあるいはリセットしないようにする。"
0FFE,フラッシュROM全クリアエラー,"・パラメータを再度全クリアする。
・パラメータを全クリア中に電源OFFあるいは
  リセットしないようにする。"
10FE,スレーブ1局あたりの入力点数が256バイトを越えている。,・スレーブ1局あたりの入力点数を256バイト以内に修正する。
11FE,スレーブ1局あたりの出力点数が256バイトを越えている。,・スレーブ1局あたりの出力点数を256バイト以内に修正する。
15FE,"サイクリックでプロダクション禁止時間の値が
0ms（設定値1）に設定されている。",・プロダクション禁止時間の値を0ms以外に設定する。
16FE,パラメータで設定されているスレーブ局が全部予約局である。,"・ネットワークに接続されているスレーブ局に合わせて
  パラメータを設定する。"
20FE,"マスタ機能用の泣き別れ防止専用命令設定が“有効”に
設定されているが，3シーケンススキャン連続でDNTMRDが
実行されなかった。","・毎スキャンDNTMRDが実行されるように，
  シーケンスプログラムを修正する。
・泣き別れ防止専用命令を使用しない場合は，
  マスタ機能用の泣き別れ防止専用命令設定を
  “無効”に設定する。設定後，I/O交信要求(Y11)をONする。"
21FE,"マスタ機能用の泣き別れ防止専用命令設定が“有効”に
設定されているが，3シーケンススキャン連続でDNTMWRが
実行されなかった。","・毎スキャンDNTMWRが実行されるように，
  シーケンスプログラムを修正する。
・泣き別れ防止専用命令を使用しない場合は，
  マスタ機能用の泣き別れ防止専用命令設定を
  “無効”に設定する。設定後，I/O交信要求(Y11)をONする。"
22FE,"スレーブ機能用の泣き別れ防止専用命令設定が“有効”に
設定されているが，3シーケンススキャン連続でDNTSRDが
実行されなかった。","・毎スキャンDNTSRDが実行されるように，
  シーケンスプログラムを修正する。
・泣き別れ防止専用命令を使用しない場合は，
  スレーブ機能用の泣き別れ防止専用命令設定を
  “無効”に設定する。設定後，I/O交信要求(Y11)をONする。"
23FE,"スレーブ機能用の泣き別れ防止専用命令設定が“有効”に
設定されているが，3シーケンススキャン連続でDNTSWRが
実行されなかった。","・毎スキャンDNTSWRが実行されるように，
  シーケンスプログラムを修正する。
・泣き別れ防止専用命令を使用しない場合は，
  スレーブ機能用の泣き別れ防止専用命令設定を
  “無効”に設定する。設定後，I/O交信要求(Y11)をONする。"
24FE,"マスタ機能使用時，スレーブ機能用の泣き別れ防止専用命令
設定を“有効”に設定してI/O交信を開始した。","・スレーブ機能用の泣き別れ防止専用命令設定を
  “無効”に設定する。設定後，I/O交信要求(Y11)をONする。"
25FE,"スレーブ機能使用時，マスタ機能用の泣き別れ防止専用命令
設定を“有効”に設定してI/O交信を開始した。","・マスタ機能用の泣き別れ防止専用命令設定を
  “無効”に設定する。設定後，I/O交信要求(Y11)をONする。"
80FE,スレーブ機能の受信バイト数が範囲外である。,・0～128バイトの範囲内に設定する。
81FE,スレーブ機能の送信バイト数が範囲外である。,・0～128バイトの範囲内に設定する。
82FE,"スレーブ機能の送信バイト数，受信バイト数が
共に0に設定されている。",・送信バイト数，受信バイト数のいずれかを0以外に設定する。
A0FE,"マスタ機能・スレーブ機能の両方を使用時，
マスタ機能・スレーブ機能とも入出力点数が0に設定されている。","・マスタ機能用パラメータのスレーブ局の入出力点数を設定する。
・スレーブ機能用パラメータの送受信バイト数を設定する。
（マスタ機能，スレーブ機能のどちらかを必ず設定する。）"
0100,"（対象局番：00局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0101,"（対象局番：01局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0102,"（対象局番：02局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0103,"（対象局番：03局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0104,"（対象局番：04局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0105,"（対象局番：05局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0106,"（対象局番：06局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0107,"（対象局番：07局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0108,"（対象局番：08局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0109,"（対象局番：09局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
010A,"（対象局番：10局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
010B,"（対象局番：11局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
010C,"（対象局番：12局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
010D,"（対象局番：13局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
010E,"（対象局番：14局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
010F,"（対象局番：15局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0110,"（対象局番：16局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0111,"（対象局番：17局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0112,"（対象局番：18局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0113,"（対象局番：19局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0114,"（対象局番：20局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0115,"（対象局番：21局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0116,"（対象局番：22局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0117,"（対象局番：23局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0118,"（対象局番：24局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0119,"（対象局番：25局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
011A,"（対象局番：26局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
011B,"（対象局番：27局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
011C,"（対象局番：28局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
011D,"（対象局番：29局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
011E,"（対象局番：30局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
011F,"（対象局番：31局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0120,"（対象局番：32局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0121,"（対象局番：33局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0122,"（対象局番：34局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0123,"（対象局番：35局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0124,"（対象局番：36局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0125,"（対象局番：37局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0126,"（対象局番：38局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0127,"（対象局番：39局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0128,"（対象局番：40局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0129,"（対象局番：41局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
012A,"（対象局番：42局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
012B,"（対象局番：43局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
012C,"（対象局番：44局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
012D,"（対象局番：45局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
012E,"（対象局番：46局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
012F,"（対象局番：47局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0130,"（対象局番：48局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0131,"（対象局番：49局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0132,"（対象局番：50局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0133,"（対象局番：51局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0134,"（対象局番：52局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0135,"（対象局番：53局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0136,"（対象局番：54局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0137,"（対象局番：55局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0138,"（対象局番：56局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
0139,"（対象局番：57局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
013A,"（対象局番：58局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
013B,"（対象局番：59局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
013C,"（対象局番：60局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
013D,"（対象局番：61局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
013E,"（対象局番：62局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
013F,"（対象局番：63局）
通信が開始された後，ネットワークの障害を検出した。",・ケーブルが正しく接続されているか確認する。
1E00,"（対象局番：00局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E01,"（対象局番：01局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E02,"（対象局番：02局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E03,"（対象局番：03局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E04,"（対象局番：04局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E05,"（対象局番：05局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E06,"（対象局番：06局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E07,"（対象局番：07局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E08,"（対象局番：08局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E09,"（対象局番：09局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E0A,"（対象局番：10局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E0B,"（対象局番：11局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E0C,"（対象局番：12局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E0D,"（対象局番：13局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E0E,"（対象局番：14局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E0F,"（対象局番：15局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E10,"（対象局番：16局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E11,"（対象局番：17局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E12,"（対象局番：18局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E13,"（対象局番：19局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E14,"（対象局番：20局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E15,"（対象局番：21局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E16,"（対象局番：22局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E17,"（対象局番：23局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E18,"（対象局番：24局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E19,"（対象局番：25局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E1A,"（対象局番：26局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E1B,"（対象局番：27局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E1C,"（対象局番：28局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E1D,"（対象局番：29局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E1E,"（対象局番：30局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E1F,"（対象局番：31局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E20,"（対象局番：32局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E21,"（対象局番：33局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E22,"（対象局番：34局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E23,"（対象局番：35局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E24,"（対象局番：36局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E25,"（対象局番：37局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E26,"（対象局番：38局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E27,"（対象局番：39局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
1E28,"（対象局番：40局）
スレーブ局が応答をしなかった。","・MAC ID，ボーレートが正しいか，
  スレーブ局がダウンしていないか，
  終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
