<GROUP>,,,
4000-4FFF,Error detected by PLC CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
7000-7FFF,"Error detected by the serial communication module,etc.",Take measure referring to the troubleshooting section of the Serial Communication Module User's Manual,ERR_QJ71C24.csv
B000-BFFF,Error detected by the CC-Link module,Take measure referring to the troubleshooting section of the CC-Link System Master/Local Module User's Manual,ERR_QJ61BT11.csv
E000-EFFF,Error detected by the CC IE Control module,Take measure referring to the troubleshooting section of the CC IE Control network system reference Manual,ERR_QJ71GP21.csv
F000-FFFF,Error detected by the MELSECNET/H or MELSECNET/10 module,Take measure referring to the troubleshooting section of the MELSECNET/H or MELSECNET/10 network system reference Manual,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
C001,"* At initial processing, the IP address setting value of the Ethernet module is incorrect.
* When using the router relay function, the setting value of the sub-net mask field is incorrect.","* Correct the IP address.
Set the class to A/B/C.
* Correct the sub-net mask.",
C002,"At initial setting, some of the various timer setting values are outside the allowable range. ",* Review and correct the necessary timer values at initial processing.,
C003,"At initial setting, the setting value of the automatic open UDP port number is outside the allowable range.",* Correct the automatic open UDP port number.,
C004,The setting value of the sub-net mask field is incorrect.,* Correct the sub-net mask and execute the initial processing again.,
C005,"* The setting value of the default router IP address for the router relay function is incorrect.
* Network ID (network ID after sub-net mask) of the default router IP address is different from the network ID of the local station's Ethernet module IP address.","* Correct the default router IP address and execute the initial processing again.
* Set the network ID to the same network ID as the local station's Ethernet module IP address.",
C006,The setting value of the sub-net address for the router relay function is incorrect.,* Correct the sub-net address and execute the initial processing again.,
C007,"* The setting value of the router IP address for the router relay function is incorrect.
* Network ID (network ID after sub-net mask) of router IP address is different from the network ID of the local station's Ethernet module IP address.","* Correct the router IP address and execute the initial processing again.
* Set the network ID to the same network ID as the local station's Ethernet module IP address.",
C010,"At open processing, the setting value of the Ethernet module port number is incorrect.",* Correct the port number.,
C011,"At open processing, the setting value of an external device's port number is incorrect.",* Correct the port number.,
C012,The port number set is used in a connection already opened by TCP/IP.,* Review and correct the port numbers of the Ethernet module and external device.
C013,The port number used in a connection already opened is set in UDP/IP open processing.,* Review and correct the port number of the Ethernet module. 
C014,Initial processing and open processing of the Ethernet module is not completed.,* Execute the initial processing and open processing.
C015,"At open processing, the setting value of an external device's IP address is incorrect.","* Correct the IP address.
Set the class to A/B/C."
C016,The pairing open processing of the connection (or the next connection) designated for pairing open has already been completed.,"* Check that the open processing of both of the target connections for pairing open is not executed. 
* Review the combination for pairing open."
C017,A connection could not be established during the open processing of a TCP connection.,"* Check the operation of the external device.
* Check the open processing of the external device.
* Correct the open settings of the communication parameters.
* Review the Ethernet module's port number and the IP address/port number and open system of the external device.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty."
C018,"The setting value of an external device's IP address is incorrect.
* When TCP is used, FFFFFFFFH
cannot be set as an IP address.",* Correct the IP address.
C020,Data length exceeds the allowable range.,"* Correct the data length.
* If the data transmitted is larger than the allowable size, divide and then send it."
