<GROUP>,,,
4000-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのマニュアルを参照ください。,ERR_QJ61BT11.csv
E000-EFFF,CC IE Controlユニットのエラー,CC IE Controlユニットのマニュアルを参照ください。,ERR_QJ71GP21.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
C001,"・イニシャル処理時の，EthernetユニットのIPアドレスの設定値に誤りがある。
・ルータ中継機能を使用時，サブネットマスクフィールドの設定値に誤りがある。","・IPアドレスを修正する。
クラスはA/B/Cにする｡
・サブネットマスクを修正する。",
C002,イニシャル処理時の各種タイマの設定値の中で，許容範囲外の設定値がある。,・イニシャル処理時の各種タイマの設定値を見直し修正する。,
C003,イニシャル処理時の自動オープンUDPポート番号の設定値が許容範囲外である。,・自動オープンUDPポート番号を修正する。,
C004,サブネットマスクフィールドの設定値に誤りがある。,・サブネットマスクを修正し，イニシャル処理を再度行う。,
C005,"・ルータ中継機能用のデフォルトルータIPアドレスの設定値に誤りがある。
・デフォルトルータIPアドレスのネットID（サブネットマスク後のネットID）が自局EthernetユニットのIPアドレスのネットIDと異なる。","・デフォルトルータIPアドレスを修正し，イニシャル処理を再度行う。
・自局EthernetユニットのIPアドレスのネットIDと同じにする。",
C006,ルータ中継機能用のサブネットアドレスの設定値に誤りがある。,・サブネットアドレスを修正し，イニシャル処理を再度行う。,
C007,"・ルータ中継機能用のルータIPアドレスの設定値に誤りがある。
・ルータIPアドレスのネットID（サブネットマスク後のネットID）が自局EthernetユニットのIPアドレスのネットIDと異なる。","・ルータIPアドレスを修正し，イニシャル処理を再度行う。
・自局EthernetユニットのIPアドレスのネットIDと同じにする。",
C010,オープン処理時の，Ethernetユニットのポート番号の設定値に誤りがある。,・ポート番号を修正する。,
C011,オープン処理時の，相手機器のポート番号の設定値に誤りがある。,・ポート番号を修正する。,
C012,すでにTCP/IPでオープン完了のコネクションで使用しているポート番号を設定している。,・Ethernetユニットおよび相手機器のポート番号を見直し，修正する。
C013,オープン完了のコネクションで使用しているポート番号を，UDP/IPのオープン処理時に設定している。,・Ethernetユニットのポート番号を見直し，修正する。
C014,Ethernetユニットのイニシャル処理，オープン処理が完了していない。,・イニシャル処理，オープン処理を行う。
C015,オープン処理時の，相手機器のIPアドレスの設定値に誤りがある。,"・IPアドレスを修正する。
クラスはA/B/Cにする。"
C016,ペアリングオープンのコネクション（または次のコネクション）は，すでにオープン処理されている。,"・ペアリングオープンの対象コネクションが，いずれもオープン処理されていないことを確認する。
・ペアリングオープンの組合わせを見直す。"
C017,TCPコネクションのオープン処理で，コネクションが確立されなかった。,"・相手機器の動作を確認する。
・相手機器のオープン処理を確認する。
・交信パラメータのオープン設定を修正する。
・Ethernetユニットのポート番号，相手機器のIPアドレス／ポート番号，オープン方法を見直す。
・接続ケーブルがはずれていないか確認する｡
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C018,"相手機器側IPアドレスの設定値に誤りがある。
＊ TCP使用時は，IPアドレスとしてFFFFFFFFHは設定不可。",・IPアドレスを修正する。
C020,データ長が許容範囲を越えている。,"・データ長を修正する。
・送信するデータ量が規定量を越えているときは分割して送信する。"
C021,固定バッファによる送信に対して，異常終了のレスポンスを受信した。,・レスポンスの終了コードをコネクション終了コード・エラーログエリアから読み出し，対応する処理を行う。
C022,レスポンス監視タイマ値以内に，レスポンスを受信できなかった。,"・相手機器の動作を確認する。
・レスポンス監視タイマ値を見直し修正する。"
C023,該当コネクションはオープン処理が完了していない。,・該当コネクションのオープン処理を行う。
C030,送信エラーが発生した。,"・トランシーバ，相手機器の動作を確認する。
＊ トランシーバは，SQEテストができるものを使用する。
・回線でパケットが混み合っている場合があるので，任意の時間が経過後に送信する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C031,送信エラーが発生した。,・自己診断テストを行い，Ethernetユニットに異常がないか確認する。
C032,"TCP/IPの交信で，TCP ULPタイムアウトエラーが発生した。
（相手機器からACKが返されない）","・相手機器の動作を確認する。
・TCP ULPタイムアウト値を修正し，イニシャル処理を再度行う。
・回線でパケットが混み合っている場合があるので，任意の時間が経過後に送信する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C033,設定されたIPアドレスの相手機器が存在しない。,"・相手機器のIPアドレスとEthernetアドレスを見直し，修正する。
・相手機器にARP機能があるときはデフォルト値を，ARP機能がないときは相手機器のEthernetアドレスを設定する。
・相手機器の動作を確認する。
・回線でパケットが混み合っている場合があるので，任意の時間が経過後に送信する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C035,レスポンス監視タイマ値以内に，相手機器の生存確認ができなかった。,"・相手機器の動作を確認する。
・生存確認用の各設定値を見直し変更する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C036,ケーブルが未接続／断線のため，送信処理が行えない。,"・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。
・折返しテストを行い，回線に異常がないか確認する。
・自己診断テストを行い，Ethernetユニットに異常がないか確認する。"
C040,"・レスポンス監視タイマ値以内に，すべてのデータを受信できなかった。
・データ長分のデータを受信できなかった。
・TCP/IPレベルで分割された伝文の残りを，レスポンス監視タイマ値以内に受信できなかった。","・交信データのデータ長を見直し修正する。
・回線上でパケットが混み合っている場合があるので，イニシャル処理時の各設定値を見直し変更する。
・再度，相手機器から同一データを送信する。"
C041,TCP使用時，受信データのチェックサムに誤りがある。,・相手機器側で送信したチェックサムを見直し，正しい値を送信する。
C042,UDP使用時，受信データのチェックサムに誤りがある。,・回線上の環境状態を調べる。
C043,受信したIPパケットのヘッダのチェックサムに誤りがある。,（ノイズ環境，回線と動力線の距離，各機器の接地）
"C044
",ICMPのエラーパケットを受信した。,"・相手機器の動作を確認する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
"C045
",ICMPのエラーパケットを受信した。,"・相手機器の動作を確認する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
"C046
",ICMPのエラーパケットを受信した。,"・相手機器の動作を確認する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
"C047
",ICMPのエラーパケットを受信した。,"・相手機器の動作を確認する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C048,ICMPのエラーパケットを受信した。,"・相手機器の動作を確認する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C049,ICMPのエラーパケットを受信した。,"・相手機器の動作を確認する。
・回線でパケットが混み合っている場合があるので，任意の時間が経過後に送信する。
・接続ケーブルがはずれていないか確認する。
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。"
C04A,"ICMPのエラーパケットを受信した。
（相手機器でIP組立タイムアウト発生）",・生存時間タイムオーバ時，相手機器のIP組立タイマ値を修正する。
C04B,"IP組立タイムアウトエラーが発生した。
（分割データの残りが受信できず，タイムアウトした）","・相手機器の動作を確認する。
・回線でパケットが混み合っている場合があるので，任意の時間が経過後に相手機器から送信する。
・接続ケーブルがはずれていないか確認する｡
・トランシーバへの接続，ターミネータの接続に異常がないか確認する。
・IP組立タイマ値を修正し，イニシャル処理を再度行う。"
C04C,・IPヘッダバッファなどの内部バッファに空きがないため，送信できない。,・再度同一データを送信し，レスポンスの受信を確認する。
C04D,"・自動オープンUDPポートによる交信または無手順の固定バッファ交信で，Ethernetユニットが受信した伝文の，アプリケーションデータ部分に指定されているデータ長に誤りがある。
・受信データをすべて格納できない。","・データ長を見直す。
・テキストデータが受信バッファメモリサイズ以下になるように，テキストサイズ量を見直す。"
C050,Ethernetユニットの動作設定でASCIIコード交信を設定時，バイナリコードに変換できないASCIIコードのデータを受信した。,"・動作設定でバイナリコード交信を設定し，再度Ethernetユニットを立ち上げて交信する。
・相手機器からの送信データを修正し送信する。"
"C051
",読出し／書込み点数が許容範囲外である。,・読出し／書込み点数を修正し，再度Ethernetユニットへ送信する。
"C052
",読出し／書込み点数が許容範囲外である。,・読出し／書込み点数を修正し，再度Ethernetユニットへ送信する。
"C053
",読出し／書込み点数が許容範囲外である。,・読出し／書込み点数を修正し，再度Ethernetユニットへ送信する。
C054,読出し／書込み点数が許容範囲外である。,・読出し／書込み点数を修正し，再度Ethernetユニットへ送信する。
C055,・ファイルデータの読出し／書込み点数が許容範囲外である。,・読出し／書込み点数（またはバイト数）を修正し，再度Ethernetユニットへ送信する。
C056,"・最大アドレスを越える読出し／書込み要求である。
・アドレスが0である。","・先頭アドレスまたは読出し／書込み点数を修正し，再度Ethernetユニットへ送信する。
（最大アドレスを越えないようにする。）"
C057,要求データ長が，キャラクタ部（テキストの一部）のデータ数と合わない。,・テキスト部の内容，またはQnヘッダの要求データ長を見直して修正後，再度Ethernetユニットへ送信する。
C058,ASCII－バイナリ変換後の要求データ長が，キャラクタ部（テキストの一部）のデータ数と合わない。,・テキスト部の内容，またはQnヘッダの要求データ長を見直して修正後，再度Ethernetユニットへ送信する。
C059,コマンド，サブコマンドの指定に誤りがある。,・要求内容を見直す。
C05A,指定デバイスに対して，Ethernetユニットは読出し／書込みできない。,・読出し／書込みするデバイスを見直す。
C05B,指定デバイスに対して，Ethernetユニットは読出し／書込みできない。,・読出し／書込みするデバイスを見直す。
C05C,"要求内容に誤りがある。
（ワードデバイスに対するビット単位の読出し／書込みなど）","・要求内容を修正し，再度Ethernetユニットへ送信する。
（サブコマンドの修正など）"
C05D,モニタ登録されていない。,・モニタ登録してからモニタを行う。
C05E,EthernetユニットとシーケンサCPUとの交信時間がCPU監視タイマを越えた。,"・CPU監視タイマを長くする。
・シーケンサCPUが正常に動作しているか確認する。
・ネットワーク番号,PC番号が正しいか確認する。
・他ネットワーク宛の場合は,ルーティングパラメータの設定を見直す。
・他ネットワーク宛の場合は,ネットワーク番号が重複していないか確認する。"
C05F,対象シーケンサに対しては，実行できない要求である。,"・ネットワーク番号，PC番号を修正する。
・読出し／書込み要求の内容を修正する。"
C060,"要求内容に誤りがある。
（ビットデバイスに対するデータの指定に誤りがあるなど）","・要求内容を修正し，再度Ethernetユニットへ送信する。
（データの修正など）"
C061,要求データ長が，キャラクタ部（テキストの一部）のデータ数と合わない。,・テキスト部の内容，またはQnヘッダの要求データ長を見直して修正後，再度Ethernetユニットへ送信する。
C062,RUN中書込み禁止設定で、リモートI/O局へMCプロトコル・3Eフレームの書き込み操作を行った,リモートI/O局へMCプロトコル･3Eフレームの書き込み操作を行う場合は，動作設定のRUN中書込み設定を”許可”にする
C070,対象局に対しては，デバイスメモリの拡張指定はできない。,"・拡張指定しないで読出し／書込みする。
＊ デバイスメモリの拡張指定は，Ethernetユニット装着局，CC IE Control,MELSECNET/H,MELSECNET/10経由のQ/QnACPUのみ可能。"
C071,Q/QnACPU以外に対する読出し／書込みのデバイス点数が多すぎる。,・読出し／書込みのデバイス点数を修正し，再度Ethernetユニットへ送信する。
C072,"要求内容に誤りがある。
（ワードデバイスに対するビット単位の読出し／書込みなど）","・対象シーケンサCPUに要求できる内容か確認する。
・要求内容を修正し，再度Ethernetユニットへ送信する。
（サブコマンドの修正など）"
C073,"対象シーケンサCPUに対しては，
Ethernetユニットがサポートしていない要求である。
（Q/QnACPU以外に対するダブルワードアクセス点数の指定があるなど）",・要求内容を見直す。
C074,対象シーケンサCPUに対しては，実行できない要求である。,"・ネットワーク番号，PC番号を修正する。
・読出し／書込み要求の内容を修正する。"
C080,"CC IE Control,MELSECNET/H,MELSECNET/10中継交信またはデータリンク用命令交信で，相手先IPアドレスが求められない。","・局番<->IP関連情報をEthernetユニットに設定する。
・CC IE Control,MELSECNET/H,MELSECNET/10中継交信用パラメータの変換方式を変更する。"
C081,Ethernetユニットの終了処理が行われており，データリンク用命令交信の到達確認ができない。,・すべての交信が終了してからEthernetユニットの終了処理を行う。
C082,"下記交信で，交信処理が異常終了した。
・GX Developerとの交信(UDP/IP)
・CC IE Control,MELSECNET/H,MELSECNET/10中継","・中継局／相手局が正常に動作しているか確認する。（交信が継続されていれば，エラー発生に対する処置は不要）
・自局と相手局間のケーブル接続に異常がないか確認する。
・回線に負荷がかかっている場合，負荷を減らす。"
C083,データリンク用命令交信で，交信処理が異常終了した。,"・中継局／相手局が正常に動作しているか確認する。（交信が継続されていれば，エラー発生に対する処置は不要）
・自局と相手局間のケーブル接続に異常がないか確認する。
・回線に負荷がかかっている場合，負荷を減らす。"
C084,データリンク用命令交信で，交信処理が異常終了した。,"・自局／中継局／相手局が正常に動作しているか確認する。
・自局と相手局間のケーブル接続に異常がないか確認する。
・TCP再送タイマ値を大きくする。"
C085,データリンク用命令交信で，他局が指定した自局のチャンネルは，現在使用中である。,・他局からの要求を再実行する。
C086,受信伝文サイズを越えた伝文を受信した。,・要求元の送信伝文サイズを修正する。
C087,"CC IE Control,MELSECNET/H,MELSECNET/10中継交信用局番<->IP関連情報設定のIPアドレスに誤りがある。","・局番<->IP関連情報設定では，CC IE Control,MELSECNET/H,MELSECNET/10中継交信する対象機器のIPアドレスを設定する。"
C0B2,MELSOFT接続，データリンク命令の中継局，交信要求先局で受信バッファに空きがない。（受信バッファフルエラー）,"・要求間隔を空ける。
・要求ノード数を減らす。
・前の要求に対しての応答を待って，次の要求を行う。
・タイムアウト値を見直す。"
C0B3,シーケンサCPUから処理できない要求があった。,"・要求内容を見直す。
・ネットワーク番号，PC番号を修正する。"
C0B5,シーケンサCPU/Ethernetユニットでは扱えないデータが指定された。,"・要求内容を見直す。
・現在の要求は中止する。"
C0B6,チャンネル番号が許容範囲外である。,・チャンネル番号は1～8で指定する。
C0B7,現在使用中のチャンネル番号が指定された。,"・チャンネル番号を変更する。
・現在の交信が完了してから実行する。"
C0B8,"ネットワーク番号，PC番号が許容範囲外である。
シーケンサCPUからの応答に異常がある。","・ネットワーク番号，PC番号を修正する。
・シーケンサCPUの動作を確認する。"
C0B9,該当コネクションのオープン処理が完了していない。,"・オープン処理を行う。
・相手機器の動作を確認する。"
C0BA,CLOSE命令によるクローズ処理中のため，送信要求を受け付けられない。,・オープン処理を行い，送信要求する。
C0BB,"システムエラー
・OSが何らかの異常を検出した。","・以下の手順で対処する。
(1) Ethernetユニット，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) Ethernetユニットの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) Ethernetユニット，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますがエラーが発生した際の操作/交信状況や，Ethernetユニットのバッファメモリ内エラーログエリアに格納される情報と合わせ，最寄の支社または代理店にご相談ください。"
C0BC,指定通信回線はクローズされている。,"・通信回線をオープンする。
・対象コネクションNo.を見直す。"
C0BD,連続要求を受付けて送信ができない。,・応答を待たずに連続で要求していないか確認する。
C0BE,"システムエラー
・OSが何らかの異常を検出した。","・以下の手順で対処する。
(1) Ethernetユニット，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) Ethernetユニットの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) Ethernetユニット，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますがエラーが発生した際の操作/交信状況や，Ethernetユニットのバッファメモリ内エラーログエリアに格納される情報と合わせ，最寄の支社または代理店にご相談ください。"
