<GROUP>,,,
4000-4FFF,Error detected by PLC CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
7000-7FFF,"Error detected by the serial communication module,etc.",Take measure referring to the troubleshooting section of the Serial Communication Module User's Manual,ERR_QJ71C24.csv
B000-BFFF,Error detected by the CC-Link module,Take measure referring to the troubleshooting section of the CC-Link System Master/Local Module User's Manual,ERR_QJ61BT11.csv
C000-CFFF,Error detected by the Ethernet module,Take measure referring to the troubleshooting section of the Ethernet Interface Module User's Manual,ERR_QJ71E71.csv
</GROUP>,,,
<ERRCODE>,,,
F101,Initial status (Network activated),Wait until SB0047 (baton pass status) and SB0049 (data link status) turns off (normal).,
F102,Initial status (Network activated),Wait until SB0047 (baton pass status) and SB0049 (data link status) turns off (normal).,
F103,Initial status (during online test),Wait until SB0047 (baton pass status) and SB0049 (data link status) turns off (normal).,
F104,Initial status(Control/sub-control station shift),Wait until SB0047 (baton pass status) and SB0049 (data link status) turns off (normal).,
F105,Initial status (Parameters being processed),Wait until SB0047 (baton pass status) and SB0049 (data link status) turns off (normal).,
F106,Shift from failed control station to sub-control station,Check the condition of the control station's power supply and of the cables and the status of the control station CPU module.,
F107,Baton pass error (baton lost),"Check the line status for a faulty cable or a missing terminal resistor, as well as the stations that are not powered on. In the case of frequent transient transmission and when the link scan time may exceed 200ms, adjust the transient setting values to reduce the link scan time.",
F108,Baton pass error (duplicate baton),"Check for duplicate station numbers and control stations with the setup confirmation test .
Check for faulty cables, wire breakage, poor connector connections, connection errors, uninstalled or loose terminal resistors, etc.",
F109,Initial status (during online test),Wait until SB0047 (baton pass status) and SB0049 (data link status) are recovered.,
F10A,Initial status (online test/offline loop test),"<During execution of an online test>
Wait until SB0047 (baton pass status) and SB0049 (data link status) are recovered.
<During execution of an offline test>
Change the switch setting to online after the test has been completed."
F10B,Duplicate station number error,"Review the station number setting.
The setup confirmation test of network diagnosis is effective."
F10C,Duplicate control station error,"Review the station number setting.
The setup confirmation test of network diagnosis is effective."
F10D,Offline status,"Review the mode setting, and change it to online."
F10E,Number of receive error retries exceeded,"Check for faulty cables, faulty hardware, incorrect cable wiring, absence of terminating resistor (in the case of the bus), and duplication of station numbers, control stations, and remote master stations.The setup confirmation test and loop test of network diagnosis are effective."
F10F,Number of send error retries exceeded,"Check for faulty cables, faulty hardware, incorrect cable wiring, absence of terminating resistor (in the case of the bus), and duplication of station numbers, control stations, and remote master stations.The setup confirmation test and loop test of network diagnosis are effective."
F110,Timeout error,"Check for faulty cables, faulty hardware, incorrect cable wiring, absence of terminating resistor (in the case of the bus), and duplication of station numbers, control stations, and remote master stations.The setup confirmation test and loop test of network diagnosis are effective."
F111,"Corresponding station error
(Baton pass to the corresponding station not executed)","Review the status of the corresponding station and the parameter and switch settings (to see if there is a parameter error and the corresponding station is the control station and properly set).Confirm the power supply status of the corresponding station (to see if it is repeatedly turned on and off).Check for faulty cables, faulty hardware, incorrect cable wiring, absence of terminating resistor (in the case of the bus), and duplication of station numbers, control stations, and remote master stations.The setup confirmation test and loop test of network diagnosis are effective."
F112,Faulty loop status,"Check for faulty cables, faulty hardware, incorrect cable wiring, and duplication of station numbers, control stations, and remote master stations.Confirm the power supply status of each module (to see if it is repeatedly turned on and off).Confirm whether network modules in MESLECNET/H and MELSECNET/10 modes exist together (confirm the control station type)."
F113,"Send failure
(Baton pass to the host station not executed)","Retry after a little while. If the error recurs as a result of a retry, check for faulty cables, faulty hardware, incorrect cable wiring, absence of terminating resistor (in the case of the bus), and duplication of station numbers, control stations, and remote master stations.Wait until SB0047 (baton pass status) and SB0049 (data link status) are recovered."
F114,Send failure,"Retry after a little while. If the error recurs as a result of a retry, check for faulty cables, faulty hardware, incorrect cable wiring, absence of terminating resistor (in the case of the bus), and duplication of station numbers, control stations, and remote master stations.Wait until SB0047 (baton pass status) and SB0049 (data link status) are recovered."
F115,Improper function code,"Check for faulty cables, faulty hardware, incorrect wiring, duplication of station numbers, and duplication of control stations."
F116,Delayed online test processing,"Check for faulty cables, faulty hardware, incorrect wiring, duplication of station numbers, and duplication of control stations."
F117,Send failure,"Check for faulty cables, hardware failure, noise, incorrect wiring errors, and absence of terminal resistors (when a bus is used)."
F118,Send failure (baton regeneration),Wait until SB0047 (baton pass status)/SB0049 (data link status) is turned off (normal).
F11A,"Send failure
(multiplex transmission stopped)",Wait for a while and execute again.
F11B,Being disconnected,"Review the parameter and switch settings (to see if there is a parameter error and the corresponding station is the control station or remote master station and properly set).Check for faulty cables, faulty hardware, noise, incorrect wiring, and duplication of station numbers, control stations, and remote master stations."
