<GROUP>,,,
03E8-4FFF,Error detected by the programmable controller CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
B000-BFFF,Error detected by the CC-Link module,Take measure referring to the troubleshooting section of the CC-Link System Master/Local Module User's Manual,ERR_QJ61BT11.csv
C000-CFFF,Error detected by the Ethernet module,Take measure referring to the troubleshooting section of the Ethernet Interface Module User's Manual,ERR_QJ71E71.csv
F000-FFFF,Error detected by the MELSECNET/H or MELSECNET/10 module,Take measure referring to the troubleshooting section of the MELSECNET/H or MELSECNET/10 network system reference Manual,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7301,"Switch 1 error 
* The setting of the intelligent function module switch 1 (CH1 mode setting) is incorrect.",Review the setting of the intelligent function module switch 1.,
7302,"Switch 2 error 
* The setting of the intelligent function module switch 2 (CH1 communication speed setting / transmission setting) is incorrect.",Review the setting of the intelligent function module switch 2.,
7303,"Switch 3 error 
* The setting of the intelligent function module switch 3 (CH2 mode setting) is incorrect.",Review the setting of the intelligent function module switch 3.,
7304,"Switch 4 error 
* The setting of the intelligent function module switch 4 (CH2 communication speed / transmission setting) is incorrect.",Review the setting of the intelligent function module switch 4.,
7305,"Switch 5 error 
* The setting of the intelligent function module switch 5 (CH1, 2 station No. setting) is incorrect.",Review the setting of the intelligent function module switch 5.,
7307,"RAM check error 
* An error was detected by the RAM check made at power-on.","Any of the QJ71MB91, programmable controller CPU or base unit may be faulty.Perform unit tests.",
730A,"Parameter starting method error 
* Parameter setting using GX Configurator-MB was applied to the programmable controller CPU while the MODBUS(R) device assignment parameter starting method specified by the intelligent function module switch was set to ""Start with the default parameters"".","* When using the default parameter setting, delete the QJ71MB91 parameters entered to the programmable controller CPU. 
* When starting the QJ71MB91 with parameters set from GX Configurator-MB or the sequence program, turn ON the MODBUS(R) device assignment parameter starting method of the intelligent function module switch.",
7327,"CPU response monitoring timer setting error 
* The CPU response monitoring timer value in the buffer memory (address: 000DH) is incorrect.",Review the CPU response monitoring timer value.,
7330,"Device code error 
* The device code value specified as a MODBUS(R) device assignment parameter is incorrect.",Review the device code value.,
7331,"MODBUS(R) device upper limit value over error 
* The head MODBUS(R) device number + assigned points in the MODBUS(R) device assignment parameter exceeds the maximum value (65535) allowed for the MODBUS(R) device.",Review the head MODBUS(R) device number and the number of assigned points.
7332,"MODBUS(R) device assigned range overlap error 
* MODBUS(R) device ranges set with the MODBUS(R) device assignment parameters are overlapped.",Review the head MODBUS(R) device number and the number of assigned points.
7333,"Buffer memory assigned range error 
* The assigned range of the QJ71MB91 buffer memory set with the MODBUS(R) device assignment parameter exceeds the range of the user free area.",Review the head device number and the number of assigned points.
7334,"Device upper limit value over error 
* The head device number + assigned points in the MODBUS(R) device assignment parameter exceeds the maximum value (65535) allowed for the CPU device.",Review the head device number and the number of assigned points.
7335,"Error status read device setting error 
* The specification of the error status read device is incorrect.",Review the setting of the error status read device.
7336,"MELSECNET/H remote access target value error 
* The access target specification value is other than 0 and 1 when the QJ71MB91 is mounted on the MELSECNET/H remote I/O station. ",MSet the access target specification value to 0 or 1 when the QJ71MB91 is mounted on the MELSECNET/H remote I/O station. 
7337,"MELSECNET/H remote access target error 
* The access target (when mounted to MELSECNET/H remote I/O station) (address: 000EH) was set when the QJ71MB91 is not mounted on the MELSECNET/H remote I/O station. ",Review the access target station or the specified access target value (when mounted to MELSECNET/H remote I/O station). 
7338,"Buffer memory setting error 
* Data were written to the system area (use prohibited) in the buffer memory.",Check whether or not writing to the system area (use prohibited) in the buffer memory was executed by the sequence program. 
7340,"Target MODBUS(R) device type specification error 
* The set value of the target MODBUS(R) device type specification in the automatic communication parameter is incorrect.",Review the target MODBUS(R) device type specification value.
7342,"Request interval timer value setting error 
* The set value of the request interval timer in the automatic communication parameter is incorrect.",Review the request interval timer value.
7343,"Response monitoring timer setting error 
* The set value of the response monitoring timer in the automatic communication parameter is outside the allowable range.",Correct the response monitoring timer value so that it falls within the allowable range.
7345,"Buffer memory address overlap error 
* The buffer memory setting ranges overlap between several automatic communication parameters.",Review the overlapping buffer memory settings and correct them.
