<GROUP>,,,
03E8-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,Ethernetユニット、FL-netユニットなどのエラー,Ethernetユニット、FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7301,"スイッチ1エラー
・インテリジェント機能ユニットスイッチ1（CH1モード設定）の内容が異常である。",インテリジェント機能ユニットスイッチ1の設定を見直す。,
7302,"スイッチ2エラー
・インテリジェント機能ユニットスイッチ2（CH1通信速度設定・伝送設定）の内容が異常である。",インテリジェント機能ユニットスイッチ2の設定を見直す。,
7303,"スイッチ3エラー
・インテリジェント機能ユニットスイッチ3（CH2モード設定）の内容が異常である。",インテリジェント機能ユニットスイッチ3の設定を見直す。,
7304,"スイッチ4エラー
・インテリジェント機能ユニットスイッチ4（CH2通信速度設定・伝送設定）の内容が異常である。",インテリジェント機能ユニットスイッチ4の設定を見直す。,
7305,"スイッチ5エラー
・インテリジェント機能ユニットスイッチ5（CH1,2局番設定）の内容が異常である。",インテリジェント機能ユニットスイッチ5の設定を見直す。,
7307,"RAMチェックエラー
・電源起動時のRAMチェックで異常を検出した。",QJ71MB91，シーケンサCPU，ベースユニットのいずれかが故障しているおそれがある。単体テストを実施する。,
730A,"パラメータ起動方法エラー
・インテリジェント機能ユニットスイッチのMODBUS(R)デバイス割付パラメータ起動方法が，「デフォルトパラメータで起動」の状態で，GX Configurator-MBによるパラメータ設定をシーケンサCPUに行っている。","・デフォルトパラメータで起動する場合は，シーケンサCPUに登録されているQJ71MB91のパラメータを削除する。
・GX Configurator-MBまたはシーケンスプログラムによるパラメータで起動する場合は，インテリジェント機能ユニットスイッチのMODBUS(R)デバイス割付パラメータ起動方法をONにする。",
7327,"CPU応答監視タイマ設定エラー
・バッファメモリのCPU応答監視タイマ値（アドレス：000DH）の設定値が異常である。",CPU応答監視タイマ値の設定値を見直す。,
7330,"デバイスコードエラー
・MODBUS(R)デバイス割付パラメータで指定されているデバイスコードの設定値が異常である。",デバイスコードの設定値を見直す。,
7331,"MODBUS(R)デバイス上限値オーバーエラー
・MODBUS(R)デバイス割付パラメータの先頭MODBUS(R)デバイス番号＋割付点数が，MODBUS(R)デバイスの最大値(65535)を超えている。",先頭MODBUS(R)デバイス番号および割付点数の設定値を見直す。
7332,"MODBUS(R)デバイス割付範囲重複エラー
・MODBUS(R)デバイス割付パラメータで設定されているMODBUS(R)デバイスの範囲が重複している。",先頭MODBUS(R)デバイス番号，および割付点数の設定値を見直す。
7333,"バッファメモリ割付範囲エラー
・MODBUS(R)デバイス割付パラメータで設定されているQJ71MB91のバッファメモリの割付範囲が，ユーザ自由エリアの範囲を超えている。",先頭デバイス番号および割付点数の設定値を見直す。
7334,"デバイス上限値オーバーエラー
・MODBUS(R)デバイス割付パラメータの先頭デバイス番号＋割付点数が，CPUデバイスの最大値(65535)を超えている。",先頭デバイス番号および割付点数の設定値を見直す。
7335,"異常ステータス用デバイス設定異常
・異常ステータス用デバイス指定の内容が異常である。",異常ステータス用デバイス指定の設定値を見直す。
7336,"MELSECNET/Hリモートアクセス先指定値エラー
・MELSECNET/HリモートI/O局装着時アクセス先指定値が，0または1以外である。",MELSECNET/HリモートI/O局装着時アクセス先指定値を0または1にする。
