<GROUP>,,,
03E8-4FFF,Error detected by the programmable controller CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
B000-BFFF,Error detected by the CC-Link module,Take measure referring to the troubleshooting section of the CC-Link System Master/Local Module User's Manual,ERR_QJ61BT11.csv
C000-CFFF,Error detected by the Ethernet module,Take measure referring to the troubleshooting section of the Ethernet Interface Module User's Manual,ERR_QJ71E71.csv
F000-FFFF,Error detected by the MELSECNET/H or MELSECNET/10 module,Take measure referring to the troubleshooting section of the MELSECNET/H or MELSECNET/10 network system reference Manual,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7301,"Switch 1 error 
*  The setting of the intelligent function module switch 1 (operation mode setting) is incorrect.",Review the setting of the intelligent function module switch 1.,
7302,"Switch 2 error 
*  The setting of the intelligent function module switch 2 (communication condition setting) is incorrect.",Review the setting of the intelligent function module switch 2.,
7303,"Switch 3, 4 error 
*  The setting of the intelligent function module switch 3, 4 (IP address setting) is incorrect.","Review the setting of the intelligent function module switch 3, 4.",
7305,"Switch 5 error 
*  The setting of the intelligent function module switch 5 (not used) is incorrect.",Delete the setting of the intelligent function module switch 5.,
7306,"ROM check error 
*  An error was detected by the ROM check made at power-on.","It is a QJ71MT91 hardware fault.Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
7307,"RAM check error 
*  An error was detected by the RAM check made at power-on.","It is a QJ71MT91, programmable controller CPU or base unit failure.Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
730A,"Parameter starting method error 
*  Parameter setting using GX Configurator-MB was made to the programmable controller CPU while b0, b1 of the intelligent function module switch 2 (communication condition setting) was preset to ""Start with the default parameters"".","*  When using the default parameter setting, delete the QJ71MT91 parameters set to the programmable controller CPU.
*  When starting the QJ71MT91 with user setting parameters set from GX Configurator-MB or sequence program, turn ON b0, b1 of the intelligent function module switch 2.",
730B,"Parameter starting method error 
* After power-on with parameters preset by GX Configurator-MB, before Basic parameter setting existence (X3) turns on, parameter settings were done by any of the following:
  *  Basic parameter setting request (Y1)
  *  Automatic communication parameter setting request (Y4)
  *  MODBUS(R) device assignment parameter setting request (Y8)","When using parameters set by GX Configurator-MB, do not make parameter settings by Y-signals before Basic parameter setting existence (X3) turns on after power-up.",
7310,"Monitoring timer setting error 
*  Any of the monitoring timer setting in the basic parameter is incorrect.",Review the monitoring timer setting.,
7311,"Preferred node specification setting error 
*  The setting of the preferred node specification in the basic parameter is incorrect.",Review the setting of the preferred node specification.
7312,"Subnet mask pattern setting error 
*  The setting of the subnet mask pattern in the basic parameter is incorrect.",Review the setting of the subnet mask pattern.
7313,"Default router IP address setting error 
*  The setting of the default router IP address in the basic parameter is incorrect.",Review the setting of the default router IP address.
7314,"Subnet address setting error 
*  The setting of the subnet address in the basic parameter is incorrect.",Review the setting of the subnet address.
7315,"Router IP address setting error 
* The setting of the router IP address in the basic parameter is incorrect.
* The net ID of the local station differs from the net ID of the router IP address.",Review the setting of the router IP address.
