<GROUP>,,,
03E8-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,Ethernetユニット、FL-netユニットなどのエラー,Ethernetユニット、FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7301,"スイッチ1エラー
・インテリジェント機能ユニットスイッチ1（動作モード設定）の内容が異常である。",インテリジェント機能ユニットスイッチ1の設定を見直す。,
7302,"スイッチ2エラー
・インテリジェント機能ユニットスイッチ2（交信条件設定）の内容が異常である。",インテリジェント機能ユニットスイッチ2の設定を見直す。,
7303,"スイッチ3,4エラー
・インテリジェント機能ユニットスイッチ3,4（IPアドレス設定）の内容が異常である。","インテリジェント機能ユニットスイッチ3,4の設定を見直す。",
7305,"スイッチ5エラー
・インテリジェント機能ユニットスイッチ5（未使用）の内容が異常である。",インテリジェント機能ユニットスイッチ5の設定値を削除する。,
7306,"ROMチェックエラー
・電源起動時のROMチェックで異常を検出した。",QJ71MT91のハードウェア異常です。恐れ入りますが不具合内容の詳細を付けて最寄りの支社または代理店にご相談ください。,
7307,"RAMチェックエラー
・電源起動時のRAMチェックで異常を検出した。",QJ71MT91，シーケンサCPU，ベースユニットのいずれかの故障。恐れ入りますが不具合内容の詳細を付けて最寄りの支社または代理店にご相談ください。,
730A,"パラメータ起動方法エラー
・インテリジェント機能ユニットスイッチ2（交信条件設定）のb0，b1が，「デフォルトパラメータで起動」の状態で，GX Configurator-MBによるパラメータ設定をシーケンサCPUに行っている。","・デフォルトパラメータで起動する場合は，シーケンサCPUに登録されているQJ71MT91のパラメータを削除する。
・GX Configurator-MBまたはシーケンスプログラムによるパラメータで起動する場合は，インテリジェント機能ユニットスイッチ2のb0,b1をONにする。",
730B,"パラメータ起動方法エラー
・GX Configurator-MBによるパラメータがシーケンサCPUに設定されている状態で電源投入後，基本パラメータ登録有無(X3)がONする前に，下記のパラメータ登録要求のいずれかによりパラメータ登録が行われた。
　 ・基本パラメータ登録要求(Y1)
　 ・自動交信パラメータ登録要求(Y4)
　 ・MODBUS(R)デバイス割付パラメータ登録要求(Y8)",GX Configurator-MBによるパラメータで動作させる場合は，電源投入後，基本パラメータ有無(X3)がONする前にY信号によるパラメータ登録を行わないようにする。,
7310,"監視タイマ設定エラー 
・基本パラメータの各種監視タイマの設定値が異常である。",各種監視タイマの設定値を見直す。,
7311,"優先ノード指定設定エラー
・基本パラメータの優先ノード指定の設定値が異常である。",優先ノード指定の設定値を見直す。
7312,"サブネットマスクパターン設定エラー 
・基本パラメータのサブネットマスクパターンの設定値が異常である。",サブネットマスクパターンの設定値を見直す。
7313,"デフォルトルータIPアドレス設定エラー 
・基本パラメータのデフォルトルータIPアドレスの設定値が異常である。",デフォルトルータIPアドレスの設定値を見直す。
7314,"サブネットアドレス設定エラー 
・基本パラメータのサブネットアドレスの設定値が異常である。",サブネットアドレスの設定値を見直す。
7315,"ルータIPアドレス設定エラー 
・基本パラメータのルータIPアドレスの設定値が異常である。
・自局のネットIDと，ルータIPアドレスのネットIDが異なっている。",ルータIPアドレスの設定値を見直す。
7316,"登録ルータ数設定エラー 
・基本パラメータの登録ルータ数の設定値が異常である。",登録ルータ数の設定値を見直す。
7317,"KeepAlive設定エラー 
・基本パラメータのKeepAlive関連の設定内容が異常である。",KeepAlive関連の設定値を見直す。
7318,"GX Developer接続用TCPコネクション数設定エラー 
・基本パラメータのGX Developer接続用TCPコネクション数の設定値が異常である。",GX Developer接続用TCPコネクション数の設定値を見直す。
7319,"自局スレーブポート番号設定エラー 
・基本パラメータの自局スレーブポート番号の設定値が異常である。",自局スレーブポート番号の設定値を見直す。
731A,"TCPコネクション数設定エラー 
・基本パラメータのGX Developer接続用TCPコネクション数，および優先ノード指定で設定するTCPコネクションの総数が64を超えている。",GX Developer接続用TCPコネクション数，および優先ノード指定の設定値を見直す。
731B,"各種タイマ設定大小関係設定エラー 
・基本パラメータで設定する各種監視タイマ値，およびCPU応答監視タイマ値の大小関係が異常である。",各種監視タイマ値，およびCPU応答監視タイマ値の設定値を見直す。
7320,"自動交信機能用ポート番号設定エラー 
・基本パラメータの自動交信機能用ポート番号の設定値が異常である。",自動交信機能用ポート番号の設定値を見直す。
7321,"自動交信機能用相手局スレーブポート番号設定エラー  
・基本パラメータの自動交信機能用相手局スレーブポート番号の設定値が異常である。",自動交信機能用相手局スレーブポート番号の設定値を見直す。
7324,"システムエリア設定エラー 
・バッファメモリのシステムエリア(0031H～00F1H)に異常なデータが書き込まれている。",バッファメモリのシステムエリア(0031H～00F1H)にはデータの書込みを行わないようにする。
7327,"CPU応答監視タイマ設定エラー 
・基本パラメータのCPU応答監視タイマ値の設定値が異常である。",CPU応答監視タイマ値の設定値を見直す。
732A,"基本パラメータ登録失敗 
・電源起動時にGX Configurator-MBのパラメータを登録中のため，基本パラメータの登録に失敗した。",GX Configurator-MBを使用する場合は，電源起動後，基本パラメータ登録有無(X3)がONしてから基本パラメータ登録要求(Y1)をONする。
732E,"専用命令用ポート番号設定エラー 
・基本パラメータの専用命令用ポート番号の設定値が異常である。",専用命令用ポート番号の設定値を見直す。
732F,"専用命令中断 
・実行中の専用命令が，基本パラメータの登録処理により中断された。",専用命令が完了してから，基本パラメータの登録処理を行う。
7330,"デバイスコードエラー 
・MODBUS(R)デバイス割付パラメータで指定されているデバイスコードの設定値が異常である。",デバイスコードの設定値を見直す。
7331,"MODBUS(R)デバイス上限値オーバーエラー 
・MODBUS(R)デバイス割付パラメータの先頭MODBUS(R)デバイス番号＋割付点数が，MODBUS(R)デバイスの最大値(65535)を超えている。",先頭MODBUS(R)デバイス番号および割付点数の設定値を見直す。
7332,"MODBUS(R)デバイス割付範囲重複エラー 
・MODBUS(R)デバイス割付パラメータで設定されているMODBUS(R)デバイスの範囲が重複している。",先頭MODBUS(R)デバイス番号，および割付点数の設定値を見直す。
7333,"バッファメモリ割付範囲エラー 
・MODBUS(R)デバイス割付パラメータで設定されているQJ71MT91のバッファメモリの割付範囲が，ユーザ自由エリアの範囲を超えている。",先頭デバイス番号および割付点数の設定値を見直す。
7334,"デバイス上限値オーバーエラー 
・MODBUS(R)デバイス割付パラメータの先頭デバイス番号＋割付点数が，CPUデバイスの最大値(65535)を超えている。",先頭デバイス番号および割付点数の設定値を見直す。
