<GROUP>,,
</GROUP>,,
<ERRCODE>,,
F100,パラメータ内にマスタ局と局番が重複しているスレーブ局が存在する。,マスタ局およびスレーブ局の局番を確認し，局番が重複しないようにパラメータを再設定してください。
F101,パラメータ内に入出力データ交信を行うスレーブ局が1台も設定されていない。（スレーブ局が予約局のみである。）,1台以上のスレーブ局が入出力データ交信を行うようにスレーブパラメータを再設定してください。（スレーブパラメータの“Slave is active”をチェックしてください。）
F102,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F103,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F104,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F105,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F106,フラッシュROMにパラメータが書き込まれていない。,パラメータを再度書き込んでください。
F107,フラッシュROMから読み出したパラメータまたは動作モードが壊れている。,フラッシュROMの初期化を実行後，パラメータおよび動作モードを書き込んでください。再度同じエラーが発生した場合は，QJ71PB92Vを交換してください。
F108,フラッシュROMにアクセスできない。またはフラッシュROMの初期化に失敗した。,フラッシュROMの初期化を行ってください。再度同じエラーが発生した場合は，QJ71PB92Vを交換してください。
F109,QJ71PB92D互換機能が無効のときに，QJ71PB92Dのパラメータが書き込まれている。,"・GX Configurator-DPのプロジェクトで選択するユニットをQJ71PB92Vにし，パラメータを書き込んでください。
・インテリジェント機能ユニットスイッチのスイッチ2を確認してください。"
F10A,QJ71PB92D互換機能が有効のときに，QJ71PB92Vのパラメータが書き込まれている。,"・GX Configurator-DPのプロジェクトで選択するユニットをQJ71PB92Dにし，パラメータを書き込んでください。
・インテリジェント機能ユニットスイッチのスイッチ2を確認してください。"
F10B,フラッシュROMに登録されている動作モードが読み出せない。,フラッシュROMの初期化を行ってください。再度同じエラーが発生した場合は，QJ71PB92Vを交換してください。
F10C,パラメータ内に入出力データサイズの設定が0byteのスレーブ局が存在する。,スレーブパラメータを確認し，各スレーブ局の入出力データサイズが必ず1byte以上になるように再設定してください。
F10D,パラメータ異常,フラッシュROMの初期化を行ってください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F10E,ハードウェア異常,最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F10F,ハードウェア異常,最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F110,専用命令有効信号(Y0C)をONしているが，BBLKRD命令を実行していない。,専用命令有効信号(Y0C)をONするときには，BBLKRD命令を実行するようにシーケンスプログラムを修正してください。
F111,専用命令有効信号(Y0C)をONしているが，BBLKWR命令を実行していない。,専用命令有効信号(Y0C)をONするときには，BBLKWR命令を実行するようにシーケンスプログラムを修正してください。
F112,専用命令有効信号(Y0C)をONしているが，BBLKRD命令およびBBLKWR命令を実行していない。,専用命令有効信号(Y0C)をONするときには，BBLKRD命令およびBBLKWR命令を実行するようにシーケンスプログラムを修正してください。
F113,自動リフレッシュによる泣き別れ防止機能実行中に，専用命令有効信号(Y0C)をONした。,自動リフレッシュによる泣き別れ防止機能と，専用命令は同時に実行できないため，GX Configurator-DPのマスタパラメータで，自動リフレッシュの泣き別れ防止機能を無効にしてください。
F120,スレーブ局に障害情報が発生した。エラー発生時は，エラーに関する詳細データが格納される。,スレーブ局で発生している障害情報を通信障害エリアで確認し，障害の処置を行ってください。なお，通信障害エリア(Un\G2040～Un\G2079)には，エラーコード0200Hが格納されます。
F121,同一回線上に，同一局番のマスタ局またはスレーブ局が存在する。,マスタ局およびスレーブ局の局番を確認し，局番が重複しないように再設定してください。
F122,回線上の異常を検出した。または，マスタパラメータが適切でない。,"終端抵抗およびPROFIBUSケーブルの配線状態を確認してください。終端抵抗およびPROFIBUSケーブルの配線状態が正しい場合は，マスタパラメータの""Min. slave interval""の設定値を大きくしてください。"
F123,回線上の異常を検出した。または，マスタパラメータが適切でない。,"終端抵抗およびPROFIBUSケーブルの配線状態を確認してください。終端抵抗およびPROFIBUSケーブルの配線状態が正しい場合は，マスタパラメータの""Min. slave interval""の設定値を大きくしてください。"
F124,回線上の異常を検出した。または，マスタパラメータが適切でない。,"終端抵抗およびPROFIBUSケーブルの配線状態を確認してください。終端抵抗およびPROFIBUSケーブルの配線状態が正しい場合は，マスタパラメータの""Min. slave interval""の設定値を大きくしてください。"
F125,マスタ局の状態がクリア要求送信状態になっている。,マスタパラメータの“Error action flag”をチェックしているため，全スレーブ局に対してクリア要求が送信されています。クリア要求を送信しない場合は，“Error action flag”のチェックをはずしてください。
F1FE,ハードウェア異常,最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F1FF,ハードウェア異常,最寄りの支社または代理店に不具合症状を説明，ご相談ください。
</ERRCODE>,,
