<GROUP>,,
</GROUP>,,
<ERRCODE>,,
F100,FDL address No. of a DP-Slave is duplicated with that of the DP-Master in the parameter settings.,"Check the FDL addresses of the DP-Master and DP-Slaves, and set correct parameters without duplication."
F101,No DP-Slaves are set up for I/O data exchange.,"Check the following and correct the setting so that one or more DP-Slaves can exchange I/O data.
Is the slave parameter, ""Slave is active"" checked?
In the temporary slave reservation, haven't all of DP-Slaves been specified as reserved stations?"
F102,Hardware failure,"Replace the QJ71PB92V.If the same error occurs again, please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F103,Hardware failure,"Replace the QJ71PB92V.If the same error occurs again, please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F104,Hardware failure,"Replace the QJ71PB92V.If the same error occurs again, please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F105,Hardware failure,"Replace the QJ71PB92V.If the same error occurs again, please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F106,Parameters have not been written to the flash ROM.,Write the parameters.
F107,The parameters or operation mode read from the flash ROM are corrupted.,"Initialize the flash ROM, and then write the parameters and operation mode.If the same error occurs again, replace the QJ71PB92V."
F108,Unable to access the flash ROM.Or failed to initialize the flash ROM.,"Initialize the flash ROM.If the same error occurs again, replace the QJ71PB92V."
F109,Parameters of the QJ71PB92D were written with the QJ71PB92D-compatible function disabled.,"Change the module selected in the GX Configurator-DP project to QJ71PB92V, and write the parameters.
Check Switch 2 of the intelligent function module switches."
F10A,Parameters of the QJ71PB92V were written with the QJ71PB92D-compatible function enabled.,"Change the module selected in the GX Configurator-DP project to QJ71PB92D, and write the parameters.
Check Switch 2 of the intelligent function module switches."
F10B,Unable to read the operation mode registered to the flash ROM.,"Initialize the flash ROM.If the same error occurs again, replace the QJ71PB92V."
F10C,"In the parameter settings, there is a DP-Slave whose I/O data size is set to 0 byte.","Check the slave parameters, and make the setting again to ensure that the I/O data size of each DP-Slave is 1byte or more."
F10D,Parameter error,"Initialize the flash ROM.If the same error occurs again, please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F10E,Hardware failure,"Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F10F,Hardware failure,"Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F110,"Although Data consistency start request signal (Y0C) is ON, the BBLKRD instruction is not executed.",Modify the sequence program so that the BBLKRD instruction is executed when Data consistency start request signal (Y0C) is ON.
F111,"Although Data consistency start request signal (Y0C) is ON, the BBLKWR instruction is not executed.",Modify the sequence program so that the BBLKWR instruction is executed when Data consistency start request signal (Y0C) is ON.
F112,"Although Data consistency start request signal (Y0C) is ON, the BBLKRD and BBLKWR instructions are not executed.",Modify the sequence program so that the BBLKRD and BBLKWR instructions are executed when Data consistency start request signal (Y0C) is ON.
F113,Data consistency start request signal (Y0C) was turned ON during execution of the data consistency function in automatic refresh.,"The data consistency function in automatic refresh and dedicated instructions are not concurrently executable.  In the master parameter setting of GX Configurator-DP, disable the data consistency function."
F120,Diagnostic information was generated on a DP-Slave.,Check Diagnostic information area for  diagnostic information generated in a DP-Slave and take corrective actions.
F121,There is a DP-Master or DP-Slave that has a duplicated FDL address on the same line.,"Check the FDL addresses of the DP-Master and DP-Slaves, and set correct parameters without duplication.When the QJ71PB92V is mounted on a redundant system, reset Switch 1 in the intelligent function module switch setting."
F122,An error has been detected on the line.,"Check the wiring status of the bus terminator(s) and PROFIBUS cable(s).If the terminating resistor and PROFIBUS cable wiring status is correct, increase the set value of the master parameter, ""Min. slave interval""."
F123,An error has been detected on the line.,"Check the wiring status of the bus terminator(s) and PROFIBUS cable(s).If the terminating resistor and PROFIBUS cable wiring status is correct, increase the set value of the master parameter, ""Min. slave interval""."
F124,An error has been detected on the line.,"Check the wiring status of the bus terminator(s) and PROFIBUS cable(s).If the terminating resistor and PROFIBUS cable wiring status is correct, increase the set value of the master parameter, ""Min. slave interval""."
F125,The DP-Master is in the clear request transmission status.,"Since gError action flagh is check-marked in the master parameter settings, the clear request has been sent to all DP-Slaves.To disable transmission of the clear request, uncheck gError action flagh."
F1FE,Hardware failure,"Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
F1FF,Hardware failure,"Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
FB00,The standby master FDL address is out of the range.,Reset Switch 1 in the intelligent function module switch setting.
FB01,The FDL address of the control master is duplicated with that of the standby master.,"Reset the following items:
""FDL address"" in the master parameter setting of GX Configurator-DP.
Switch 1 in the intelligent function module switch setting of GX Developer."
FB02,The FDL address of the standby master is duplicated with that of a DP-Slave.,"Reset the following items:
Switch 1 in the intelligent function module switch setting of GX Developer.
""FDL Address"" in the slave parameter setting of GX Configurator-DP."
FB03,An error has occurred during processing of system switching (Control system -> Standby system) ,"Please consult your local Mitsubishi representative, explaining a detailed description of the problem."
FB04,An error has occurred during processing of system switching (Standby system -> Control system) ,"Check the wiring status of the bus terminator(s) and PROFIBUS cable(s). If the bus terminators and PROFIBUS cables are correctly connected, increase the set value of the master parameter, ""Min. slave interval"".
In the multi-master system configuration, check if the FDL address of the control master is duplicated with that of another DP-Master.
If the same error occurs again after performing the above, please consult your local Mitsubishi representative, explaining a detailed description of the problem."
</ERRCODE>,,
