<GROUP>,,
</GROUP>,,
<ERRCODE>,,
F100,パラメータ内にマスタ局と局番が重複しているスレーブ局が存在する。,マスタ局およびスレーブ局の局番を確認し，局番が重複しないようにパラメータを再設定してください。
F101,入出力データ交信を行うスレーブ局が1台も設定されていない。,"1台以上のスレーブ局が入出力データ交信を行うように下記内容を見直してください。
・スレーブパラメータの“Slave is active”をチェックしたか
・一時予約局指定で，すべてのスレーブ局を予約局にしていないか"
F102,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F103,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F104,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F105,ハードウェア異常,QJ71PB92Vを交換してください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F106,フラッシュROMにパラメータが書き込まれていない。,パラメータを再度書き込んでください。
F107,フラッシュROMから読み出したパラメータまたは動作モードが壊れている。,フラッシュROMの初期化を実行後，パラメータおよび動作モードを書き込んでください。再度同じエラーが発生した場合は，QJ71PB92Vを交換してください。
F108,フラッシュROMにアクセスできない。またはフラッシュROMの初期化に失敗した。,フラッシュROMの初期化を行ってください。再度同じエラーが発生した場合は，QJ71PB92Vを交換してください。
F109,QJ71PB92D互換機能が無効のときに，QJ71PB92Dのパラメータが書き込まれている。,"・GX Configurator-DPのプロジェクトで選択するユニットをQJ71PB92Vにし，パラメータを書き込んでください。
・インテリジェント機能ユニットスイッチのスイッチ2を確認してください。"
F10A,QJ71PB92D互換機能が有効のときに，QJ71PB92Vのパラメータが書き込まれている。,"・GX Configurator-DPのプロジェクトで選択するユニットをQJ71PB92Dにし，パラメータを書き込んでください。
・インテリジェント機能ユニットスイッチのスイッチ2を確認してください。"
F10B,フラッシュROMに登録されている動作モードが読み出せない。,フラッシュROMの初期化を行ってください。再度同じエラーが発生した場合は，QJ71PB92Vを交換してください。
F10C,パラメータ内に入出力データサイズの設定が0byteのスレーブ局が存在する。,スレーブパラメータを確認し，各スレーブ局の入出力データサイズが必ず1byte以上になるように再設定してください。
F10D,パラメータ異常,フラッシュROMの初期化を行ってください。再度同じエラーが発生した場合は，最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F10E,ハードウェア異常,最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F10F,ハードウェア異常,最寄りの支社または代理店に不具合症状を説明，ご相談ください。
F110,泣き別れ防止開始要求信号(Y0C)をONしているが，BBLKRD命令を実行していない。,泣き別れ防止開始要求信号(Y0C)をONするときには，BBLKRD命令を実行するようにシーケンスプログラムを修正してください。
F111,泣き別れ防止開始要求信号(Y0C)をONしているが，BBLKWR命令を実行していない。,泣き別れ防止開始要求信号(Y0C)をONするときには，BBLKWR命令を実行するようにシーケンスプログラムを修正してください。
F112,泣き別れ防止開始要求信号(Y0C)をONしているが，BBLKRD命令及びBBLKWR命令を実行していない。,泣き別れ防止開始要求信号(Y0C)をONするときには，BBLKRD命令及びBBLKWR命令を実行するようにシーケンスプログラムを修正してください。
