<GROUP>,,,
4000-4FFF,Error detected by PLC CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
7000-7FFF,"Error detected by the serial communication module,etc.",Take measure referring to the troubleshooting section of the Serial Communication Module User's Manual,ERR_QJ71C24.csv
C000-CFFF,Error detected by the Ethernet module,Take measure referring to the troubleshooting section of the Ethernet Interface Module User's Manual,ERR_QJ71E71.csv
F000-FFFF,Error detected by the MELSECNET/H or MELSECNET/10 module,Take measure referring to the troubleshooting section of the MELSECNET/H or MELSECNET/10 network system reference Manual,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
B000,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B001,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B002,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B003,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B008,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B084,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B085,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B086,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
B087,"System error
* The OS detected some error.","Take the following steps:
(1) Check if the power supply module, PLC CPU and QS0J61BT12 are correctly mounted on the base unit.
(2) Confirm that the system is operated within the general specifications of the PLC CPU.
(3) Check if the power capacity is sufficient. 
(4) A probable cause is a hardware error.Check if the PLC CPU, base unit and QS0J61BT12 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
(5) If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code.",
