<GROUP>,,,
4000-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
C000-CFFF,Ethernetユニット、FL-netユニットなどのエラー,Ethernetユニット、FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
B000,"システムエラー。
システムの異常を検出した。","・以下の手順で対処する。
(1) QS0J61BT12，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QS0J61BT12の使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QS0J61BT12，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
B001,"システムエラー。
システムの異常を検出した。","・以下の手順で対処する。
(1) QS0J61BT12，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QS0J61BT12の使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QS0J61BT12，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
B002,"システムエラー。
システムの異常を検出した。","・以下の手順で対処する。
(1) QS0J61BT12，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QS0J61BT12の使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QS0J61BT12，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
B003,"システムエラー。
システムの異常を検出した。","・以下の手順で対処する。
(1) QS0J61BT12，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QS0J61BT12の使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QS0J61BT12，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
B008,"システムエラー。
システムの異常を検出した。","・以下の手順で対処する。
(1) QS0J61BT12，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QS0J61BT12の使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QS0J61BT12，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
B084,"システムエラー。
システムの異常を検出した。","・以下の手順で対処する。
(1) QS0J61BT12，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QS0J61BT12の使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QS0J61BT12，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
B085,"システムエラー。
システムの異常を検出した。","・以下の手順で対処する。
(1) QS0J61BT12，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) QS0J61BT12の使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) QS0J61BT12，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますが不具合内容の詳細を付けて最寄の支社または代理店にご相談ください。",
