<GROUP>,,,
4000-4FFF,Errors detected by the CPU module,"Troubleshooting in the CPU User's Manual. (Hardware Design, Maintenance and Inspection)",********.csv
7000-7FFF,"Errors detected by the serial communication module, etc.",Troubleshooting in the Serial Communication Module User's Manual.,ERR_QJ71C24.csv
B000-BFFF,Errors detected by the CC-Link system,Troubleshooting in the CC-Link System Master/Local Module User's Manual.,ERR_QS0J61BT12.csv
C000-CFFF,Errors detected by the Ethernet interface module,Troubleshooting in the Ethernet Interface Module User's Manual.,ERR_QJ71E71.csv
E000-EFFF,Errors detected by the CC-Link IE controller network module,"Take corrective actions, referring to the troubleshooting section of the CC-Link IE Controller Network Reference Manual.",ERR_QJ71GP21.csv
F000-FFFF,Errors detected in the MELSECNET/H or MELSECNET/10 network system,Troubleshooting in the MELSECNET/H or MELSECNET/10 Network System Reference Manual.,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
D000,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
D001,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
D002,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
D003,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
D004,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
D005,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
D006,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem.",
D007,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
D00F,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
D010,Parameter error (RX size over),Correct the points assigned to the RX devices.
D011,Parameter error (RY size over),Correct the points assigned to the RY devices.
D012,Parameter error (RWw size over),Correct the points assigned to the RWw devices.
D013,Parameter error (RWr size over),Correct the points assigned to the RWr devices.
D014,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
D015,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
D016,Network module failure,"*A malfunction may have occurred due to noise. Check the wire and cable distances and grounding condition of each device, and take measures against noise.
*Execute hardware and self-loopback tests. If a failure occurs again, the hardware of the master/local module may be faulty. Please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
D018,Parameter error (constant link scan time error),Correct the constant link scan time.
