<GROUP>,,,
3E8-3FFF,Errors detected by the CPU module,"Troubleshooting in the QCPU User's Manual.(Hardware Design, Maintenance and Inspection)",********.csv
4000-4FFF,Errors detected by the CPU module,"Troubleshooting in the QCPU User's Manual.(Hardware Design, Maintenance and Inspection)",********.csv
7000-7FFF,"Errors detected by the serial communication module, etc.",Troubleshooting in the Serial Communication Module User's Manual.,ERR_QJ71C24.csv
B000-BFFF,Errors detected by the CC-Link system,Troubleshooting in the CC-Link System Master/Local Module User's Manual.,ERR_QJ61BT11.csv
C000-CFFF,Errors detected by the Ethernet interface module,Troubleshooting in the Ethernet Interface Module User's Manual.,ERR_QJ71E71.csv
E000-EFFF,Errors detected by the CC-Link IE controller network module.,Troubleshooting in the CC-Link IE Controller Network Reference Manual.,ERR_QJ71GP21.csv
F000-FFFF,Errors detected in the MELSECNET/H or MELSECNET/10 network system,Troubleshooting in the MELSECNET/H or MELSECNET/10 Network System Reference Manual.,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
0055,The external device requested to write data while the programmable controller CPU is in RUN state when the online change is disabled in [PLC parameter] -> [Built-in Ethernet port] in GX Developer.,"Enable the online change in [PLC parameter]-> [Built-in Ethernet port] in GX Developer and then write data.
Stop the CPU module and then write data.",
0A8C,The count of remote password mismatches reached the upper limit.,"Check for illegal accesses. If any illegal access is identified, take actions such as disabling communication of the connection.
If no illegal access is identified, clear the error and perform the following.
(Clearing the error also clears the count of remote password mismatches.)
* Check if the remote password sent is correct.
* Check if the remote password has been locked.
* Check if concurrent access was made from multiple devices to one connection by UDP.
* Check if the upper limit of the remote password mismatch count is too low.",
0A96,Time setting failed when the programmable controller was powered ON or reset.,"* Check if the time setting function is set up correctly.
* Check if the specified SNTP server is operating normally, or if any failure has occurred on the network connected to the specified SNTP server computer.",
4000,Serial communication sum check error,"* Connect the serial communication cable correctly.
* Take noise reduction measures.",
4001,Unsupported request was executed.,"* Check the command data of the MC protocol, etc.
* Check the CPU module model name selected in the peripheral device.",
4002,Unsupported request was executed.,"* Check the command data of the MC protocol, etc.
* Check the CPU module model name selected in the peripheral device.",
4003,Command for which a global request cannot be performed was executed.,"Check the command data of the MC protocol, etc."
4004,"Any operation for the CPU module is prohibited by the system protect function provided against the following events.
* The system protect switch is ON.
* The CPU module is starting.","* Set the system protect switch of the CPU module to OFF.
* Perform operation again after the CPU module has completed starting."
4005,The volume of data handled according to the specified request is too large.,"Check the command data of the MC protocol, etc."
4006,Serial communication could not be initialized.,"* Check with the external device maker for the support condition.
* Check the CPU module model name selected in the peripheral device."
4008,"The CPU module is BUSY.
(The buffer is not vacant).","After the free time has passed, reexecute the request."
4010,"Since the CPU module is running, the request contents cannot be executed.",Execute after setting the CPU module to STOP status.
4013,"Since the CPU module is not in a STOP status, the request contents cannot be executed.",Execute after setting the CPU module to STOP status.
4021,The specified drive memory does not exist or there is an error.,"* Check the specified drive memory status.
* After backing up the data in the CPU module, execute PLC memory format."
